star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
3.12984237e+02,4.59999970,-8.27942531e-10,3.15027579,3.63767407,1.82246692,-2.34509849,7.69282715e-05,5.72151847,-3.81548542,-1
3.27593265e+02,4.59999969,-8.18228673e-10,3.14711653,3.63790997,1.82041547,-2.34509849,7.67395556e-05,5.72352019,-3.80948648,-1
3.42849011e+02,4.59999968,-8.08126993e-10,3.14384077,3.63814960,1.81829835,-2.34509849,7.65273031e-05,5.72558612,-3.80329426,-1
3.58297063e+02,4.59999967,-7.98325724e-10,3.14949662,3.64075489,1.81591568,-2.34509849,8.72241850e-05,5.72770177,-3.79695777,-1
3.74613886e+02,4.59999965,-8.03035424e-10,3.15156460,3.64247714,1.81350517,-2.34509849,9.50361682e-05,5.72993205,-3.79027551,-1
3.91972289e+02,4.59999964,-8.00292457e-10,3.14814317,3.64282328,1.81110218,-2.34509849,9.57564591e-05,5.73227726,-3.78324559,-1
4.10182812e+02,4.59999963,-7.89689168e-10,3.14437413,3.64312169,1.80862083,-2.34509849,9.55714530e-05,5.73470075,-3.77598244,-1
4.29266997e+02,4.59999961,-7.79120612e-10,3.14046677,3.64342451,1.80606153,-2.34509849,9.54080720e-05,5.73720042,-3.76848990,-1
4.49218003e+02,4.59999959,-7.67787153e-10,3.13643659,3.64373457,1.80342631,-2.34509849,9.51669306e-05,5.73977432,-3.76077490,-1
4.70083177e+02,4.59999958,-7.55991917e-10,3.13240471,3.64408395,1.80071161,-2.34509849,9.48843422e-05,5.74242551,-3.75282771,-1
4.91896375e+02,4.59999956,-7.44002993e-10,3.12830967,3.64445787,1.79791625,-2.34509849,9.45917336e-05,5.74515515,-3.74464527,-1
5.14692511e+02,4.59999955,-7.31718950e-10,3.12393594,3.64480152,1.79504209,-2.34509849,9.42731930e-05,5.74796274,-3.73622903,-1
5.38511249e+02,4.59999953,-7.19455797e-10,3.11942067,3.64514960,1.79208829,-2.34509849,9.39681073e-05,5.75084835,-3.72758054,-1
5.63536244e+02,4.59999951,-7.06950069e-10,3.11476591,3.64550803,1.78904405,-2.34509849,9.36429442e-05,5.75382252,-3.71866518,-1
5.89694949e+02,4.59999949,-6.94263610e-10,3.11000367,3.64588070,1.78591758,-2.34509849,9.33028263e-05,5.75687673,-3.70950985,-1
6.16997815e+02,4.59999947,-6.81345899e-10,3.10511231,3.64626137,1.78271056,-2.34509849,9.29388066e-05,5.76000985,-3.70011684,-1
6.45554790e+02,4.59999946,-6.68253685e-10,3.10019797,3.64667953,1.77941707,-2.34509849,9.25586714e-05,5.76322705,-3.69047200,-1
6.75509851e+02,4.59999944,-6.55427998e-10,3.09500254,3.64707236,1.77603371,-2.34509849,9.22192100e-05,5.76653283,-3.68056038,-1
7.06731912e+02,4.59999942,-6.42427172e-10,3.08975218,3.64749116,1.77257091,-2.34509849,9.18598379e-05,5.76991611,-3.67041465,-1
7.39495534e+02,4.59999939,-6.29212169e-10,3.08434731,3.64791771,1.76901539,-2.34509849,9.14717591e-05,5.77339046,-3.65999556,-1
7.73678123e+02,4.59999937,-6.16156181e-10,3.07886624,3.64836670,1.76537687,-2.34509849,9.11089837e-05,5.77694592,-3.64933311,-1
8.09508057e+02,4.59999935,-6.02920818e-10,3.07317920,3.64880930,1.76164816,-2.34509849,9.07172455e-05,5.78059022,-3.63840289,-1
8.46864693e+02,4.59999933,-5.89669189e-10,3.06737954,3.64926440,1.75783813,-2.34509849,9.03208429e-05,5.78431458,-3.62723516,-1
8.86078352e+02,4.59999931,-5.76307085e-10,3.06135212,3.64970899,1.75393522,-2.34509849,8.99000693e-05,5.78812990,-3.61579311,-1
9.27026104e+02,4.59999928,-5.63206922e-10,3.05572119,3.65029791,1.74994194,-2.34509849,8.95273256e-05,5.79203129,-3.60409541,-1
9.69789044e+02,4.59999926,-5.50149769e-10,3.04944994,3.65076744,1.74586724,-2.34509849,8.91423551e-05,5.79601494,-3.59214967,-1
1.01460380e+03,4.59999924,-5.37191331e-10,3.04304712,3.65124854,1.74170363,-2.34509849,8.87632134e-05,5.80008553,-3.57994357,-1
1.06146251e+03,4.59999921,-5.24162764e-10,3.03665159,3.65177474,1.73745347,-2.34509849,8.83640975e-05,5.80424041,-3.56748241,-1
1.11042026e+03,4.59999919,-5.10940343e-10,3.02998129,3.65227347,1.73312087,-2.34509849,8.79132145e-05,5.80847673,-3.55477602,-1
1.16160911e+03,4.59999916,-4.97918925e-10,3.02315567,3.65277503,1.72870492,-2.34509849,8.74774573e-05,5.81279537,-3.54182216,-1
1.21513354e+03,4.59999913,-4.85210599e-10,3.01638111,3.65333161,1.72420450,-2.34509849,8.70827535e-05,5.81719611,-3.52862119,-1
1.27111466e+03,4.59999911,-4.72446253e-10,3.00946787,3.65389654,1.71961800,-2.34509849,8.66581201e-05,5.82168178,-3.51516533,-1
1.32963140e+03,4.59999908,-4.59962692e-10,3.00226393,3.65442810,1.71495292,-2.34509849,8.62548729e-05,5.82624529,-3.50147612,-1
1.39086690e+03,4.59999905,-4.47549426e-10,2.99510170,3.65501245,1.71020310,-2.34509849,8.58452860e-05,5.83089169,-3.48753860,-1
1.45487364e+03,4.59999903,-4.34957659e-10,2.98775830,3.65559138,1.70537354,-2.34509849,8.53699502e-05,5.83561686,-3.47336424,-1
1.52176994e+03,4.59999900,-4.22736502e-10,2.98015336,3.65614343,1.70046697,-2.34509849,8.49297306e-05,5.84041821,-3.45895838,-1
1.59178627e+03,4.59999897,-4.10878052e-10,2.97285168,3.65680487,1.69549325,-2.34509849,8.45389734e-05,5.84528442,-3.44436198,-1
1.66496681e+03,4.59999894,-3.98998614e-10,2.96509749,3.65739961,1.69042668,-2.34509849,8.41038474e-05,5.85024280,-3.42948564,-1
1.74147054e+03,4.59999891,-3.87186708e-10,2.95714634,3.65798231,1.68528570,-2.34509849,8.36395624e-05,5.85527473,-3.41438920,-1
1.82146530e+03,4.59999888,-3.75654890e-10,2.94926414,3.65862039,1.68006844,-2.34509849,8.32026864e-05,5.86038085,-3.39906986,-1
1.90505176e+03,4.59999885,-3.64153943e-10,2.94106747,3.65921514,1.67478060,-2.34509849,8.27185525e-05,5.86555719,-3.38353760,-1
1.99241291e+03,4.59999882,-3.52972041e-10,2.93276691,3.65981883,1.66942295,-2.34509849,8.22595715e-05,5.87080222,-3.36779661,-1
2.08373330e+03,4.59999879,-3.42074415e-10,2.92457785,3.66048743,1.66399121,-2.34509849,8.18299817e-05,5.87611944,-3.35183845,-1
2.17933062e+03,4.59999875,-3.31210815e-10,2.91627145,3.66116361,1.65848566,-2.34509849,8.13568564e-05,5.88150984,-3.33566075,-1
2.27920424e+03,4.59999872,-3.20686589e-10,2.90769184,3.66179415,1.65293477,-2.34509849,8.08955326e-05,5.88694615,-3.31934751,-1
2.38354073e+03,4.59999869,-3.10325866e-10,2.89914565,3.66247540,1.64729918,-2.34509849,8.04357156e-05,5.89246532,-3.30278387,-1
2.49267564e+03,4.59999865,-3.00129700e-10,2.89030124,3.66311427,1.64159923,-2.34509849,7.99477918e-05,5.89804929,-3.28602470,-1
2.60675367e+03,4.59999862,-2.90241900e-10,2.88143555,3.66377865,1.63583764,-2.34509849,7.94842652e-05,5.90369403,-3.26908542,-1
2.72589043e+03,4.59999859,-2.80563595e-10,2.87254062,3.66446679,1.63001388,-2.34509849,7.90204875e-05,5.90939988,-3.25196235,-1
2.85069417e+03,4.59999855,-2.71170360e-10,2.86363810,3.66516620,1.62416380,-2.34509849,7.85575685e-05,5.91507912,-3.23485402,-1
2.98092766e+03,4.59999852,-2.61968051e-10,2.85447811,3.66583811,1.61823998,-2.34509849,7.80841799e-05,5.92083979,-3.21751674,-1
3.11715708e+03,4.59999848,-2.52681198e-10,2.84521565,3.66651571,1.61225356,-2.34509849,7.75139831e-05,5.92670307,-3.19991304,-1
