star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
8.05222769e+02,1.55999990,-1.13436087e-10,2.26771820,3.64230299,1.37193027,-2.34509887,5.94294031e-05,5.72030046,-2.91284737,-1
8.47046858e+02,1.55999989,-1.11884352e-10,2.26400332,3.64255467,1.36956948,-2.34509887,5.92601441e-05,5.72254898,-2.90612328,-1
8.91011125e+02,1.55999989,-1.10301244e-10,2.26014803,3.64281406,1.36712305,-2.34509887,5.90870189e-05,5.72487917,-2.89915349,-1
9.37217878e+02,1.55999988,-1.08670203e-10,2.25614499,3.64308014,1.36458936,-2.34509887,5.89000056e-05,5.72729309,-2.89193362,-1
9.85827638e+02,1.55999988,-1.06987690e-10,2.25199521,3.64335501,1.36196473,-2.34509887,5.86967483e-05,5.72979409,-2.88445397,-1
1.03703659e+03,1.55999987,-1.05268596e-10,2.24784013,3.64367695,1.35924332,-2.34509887,5.84870225e-05,5.73238686,-2.87669759,-1
1.09088359e+03,1.55999987,-1.03531673e-10,2.24336775,3.64396609,1.35642885,-2.34509887,5.82756564e-05,5.73506941,-2.86867209,-1
1.14747313e+03,1.55999986,-1.01758268e-10,2.23880653,3.64428021,1.35352000,-2.34509887,5.80542231e-05,5.73784220,-2.86037593,-1
1.20689512e+03,1.55999986,-9.99896755e-11,2.23410800,3.64460709,1.35051698,-2.34509887,5.78446837e-05,5.74070519,-2.85180972,-1
1.26926418e+03,1.55999985,-9.81730579e-11,2.22927122,3.64494679,1.34741919,-2.34509887,5.76157030e-05,5.74365902,-2.84297061,-1
1.33507145e+03,1.55999984,-9.63383046e-11,2.22420508,3.64528206,1.34421557,-2.34509887,5.73838288e-05,5.74671461,-2.83382805,-1
1.40427705e+03,1.55999984,-9.44658195e-11,2.21900328,3.64563387,1.34091105,-2.34509887,5.71358210e-05,5.74986706,-2.82439352,-1
1.47678807e+03,1.55999983,-9.25692471e-11,2.21363173,3.64599060,1.33751182,-2.34509887,5.68781641e-05,5.75311060,-2.81468762,-1
1.55333343e+03,1.55999982,-9.06601674e-11,2.20835006,3.64642683,1.33399852,-2.34509887,5.66213922e-05,5.75646301,-2.80465408,-1
1.63360214e+03,1.55999982,-8.87752692e-11,2.20261847,3.64679876,1.33038886,-2.34509887,5.63787402e-05,5.75990886,-2.79433992,-1
1.71812670e+03,1.55999981,-8.68525010e-11,2.19682360,3.64720881,1.32667134,-2.34509887,5.61159185e-05,5.76345860,-2.78371511,-1
