  Mass,   Radius,      Age, Class  ,   FeH,           Lum, AbsMagn,     Teff, CoreTemp, CoreDensity,     Mdot, WindSpeed, Phase,    SurfZ,  SurfNuc,  SurfVol,        Magnetic,  Lifetime,     Spin,  MinCoilMass
  1.45,     0.00, 6.90E+07, Q      ,  0.01,        0.0000,   23.92,  18063.1, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  77932679.65396, 1.80E+308, 2.08E-01,     0.00E+00
  1.83,     0.00, 3.58E+06, Q      , -0.05,        0.0000,   17.47,  80210.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 5108940896.98678, 1.80E+308, 1.17E-02,     0.00E+00
  2.48,      nan, 8.80E+07, X      ,  0.18,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.93E-01,     0.00E+00
  1.76,     0.00, 1.49E+07, Q      ,  0.13,        0.0000,   20.61,  38914.8, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  88855192.39208, 1.80E+308, 4.58E-02,     0.00E+00
  1.43,     0.00, 3.18E+07, Q      ,  0.09,        0.0000,   22.23,  26637.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  64665924.47840, 1.80E+308, 9.64E-02,     0.00E+00
  1.86,     0.00, 4.73E+06, Q      , -0.37,        0.0000,   18.10,  69560.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1255238758.37116, 1.80E+308, 1.52E-02,     0.00E+00
  2.04,     0.00, 1.77E+07, Q      , -0.09,        0.0000,   21.01,  35767.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 283530654.31563, 1.80E+308, 5.40E-02,     0.00E+00
  2.38,      nan, 7.79E+06, X      , -0.10,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 9.90E-01,     0.00E+00
  2.35,      nan, 2.84E+07, X      , -0.00,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 1.76E-02,     0.00E+00
  1.63,     0.00, 3.73E+06, Q      , -0.21,        0.0000,   17.55,  78495.7, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 170696167.35130, 1.80E+308, 1.22E-02,     0.00E+00
  1.91,     0.00, 2.02E+06, Q      ,  0.04,        0.0000,   16.21, 107501.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 8346783500.07360, 1.80E+308, 7.07E-03,     0.00E+00
  2.58,      nan, 9.13E+06, X      ,  0.11,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.57E-01,     0.00E+00
  2.62,      nan, 7.79E+07, X      ,  0.09,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 8.36E-01,     0.00E+00
  1.91,     0.00, 2.73E+06, Q      ,  0.05,        0.0000,   16.88,  92043.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 6033667990.63594, 1.80E+308, 9.20E-03,     0.00E+00
  2.68,      nan, 7.02E+06, X      ,  0.27,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 8.63E-01,     0.00E+00
  2.58,      nan, 3.45E+07, X      , -0.12,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 2.59E-01,     0.00E+00
  1.46,     0.00, 1.28E+06, Q      , -0.11,        0.0001,   15.14, 136631.4, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 8289123258.45533, 1.80E+308, 4.85E-03,     0.00E+00
  2.32,      nan, 1.04E+06, X      ,  0.18,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 5.30E-01,     0.00E+00
  1.57,     0.00, 3.91E+07, Q      ,  0.13,        0.0000,   22.69,  24023.2, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 315207293.40255, 1.80E+308, 1.18E-01,     0.00E+00
  2.44,      nan, 2.44E+07, X      ,  0.19,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.05E-01,     0.00E+00
  2.62,      nan, 1.13E+07, X      ,  0.10,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 2.48E-01,     0.00E+00
  1.53,     0.00, 8.06E+06, Q      ,  0.25,        0.0000,   19.24,  53097.1, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 1649088514.57074, 1.80E+308, 2.52E-02,     0.00E+00
  1.89,     0.00, 1.30E+06, Q      , -0.19,        0.0001,   15.19, 135778.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 13359719216.52760, 1.80E+308, 4.90E-03,     0.00E+00
