star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
2.72791145e+03,5.39999882,-2.78177103e-10,2.84218339,3.60876188,1.72624508,-1.34509847,1.49322548e-04,5.91626568,-3.44814584,-1
2.84920543e+03,5.39999878,-2.70541156e-10,2.83505043,3.60943932,1.72132372,-1.34509847,1.49316683e-04,5.92105343,-3.43369090,-1
2.97580977e+03,5.39999875,-2.63020225e-10,2.82774360,3.61011047,1.71632801,-1.34509847,1.49277064e-04,5.92591619,-3.41901542,-1
3.10799215e+03,5.39999872,-2.55572214e-10,2.82041773,3.61081452,1.71125698,-1.34509847,1.49247137e-04,5.93085424,-3.40412019,-1
3.24597501e+03,5.39999868,-2.48285001e-10,2.81293569,3.61151530,1.70611440,-1.34509847,1.49210068e-04,5.93580522,-3.38912608,-1
3.39001350e+03,5.39999865,-2.41033886e-10,2.80538182,3.61223352,1.70090103,-1.34509847,1.49125236e-04,5.94084971,-3.37388549,-1
3.54035420e+03,5.39999861,-2.34015514e-10,2.79773331,3.61296488,1.69561404,-1.34509847,1.49106732e-04,5.94600484,-3.35834885,-1
3.69730711e+03,5.39999857,-2.26999832e-10,2.79000873,3.61371162,1.69025827,-1.34509847,1.49008156e-04,5.95121561,-3.34263710,-1
3.86129144e+03,5.39999854,-2.20192409e-10,2.78218330,3.61446893,1.68483094,-1.34509847,1.48951556e-04,5.95651044,-3.32668542,-1
4.03240560e+03,5.39999850,-2.13480867e-10,2.77412386,3.61520030,1.67933848,-1.34509847,1.48803074e-04,5.96187067,-3.31054161,-1
4.21102009e+03,5.39999846,-2.06892222e-10,2.76612493,3.61598073,1.67377816,-1.34509847,1.48704318e-04,5.96729904,-3.29419875,-1
4.39735412e+03,5.39999843,-2.00427378e-10,2.75791611,3.61673987,1.66815547,-1.34509847,1.48538125e-04,5.97279036,-3.27766965,-1
4.59181369e+03,5.39999839,-1.94105763e-10,2.74965515,3.61751746,1.66246980,-1.34509847,1.48383212e-04,5.97834442,-3.26095177,-1
4.79503839e+03,5.39999835,-1.87827938e-10,2.74121896,3.61828136,1.65672392,-1.34509847,1.48103337e-04,5.98395902,-3.24405433,-1
5.00711827e+03,5.39999831,-1.81859368e-10,2.73294024,3.61911681,1.65091366,-1.34509847,1.48048420e-04,5.98963747,-3.22696385,-1
5.22822940e+03,5.39999827,-1.75923513e-10,2.72435203,3.61990190,1.64504938,-1.34509847,1.47810824e-04,5.99537141,-3.20970808,-1
5.45931060e+03,5.39999823,-1.70119455e-10,2.71569492,3.62069878,1.63912705,-1.34509847,1.47556603e-04,6.00116381,-3.19228047,-1
5.70039622e+03,5.39999819,-1.64436634e-10,2.70692293,3.62149363,1.63315135,-1.34509847,1.47261322e-04,6.00701022,-3.17469386,-1
5.95186992e+03,5.39999815,-1.58924108e-10,2.69820704,3.62233020,1.62712027,-1.34509847,1.47035915e-04,6.01291207,-3.15694389,-1
6.21470179e+03,5.39999811,-1.53533608e-10,2.68929129,3.62314315,1.62103649,-1.34509847,1.46733533e-04,6.01886815,-3.13903304,-1
6.48870193e+03,5.39999807,-1.48264146e-10,2.68034772,3.62397405,1.61490291,-1.34509847,1.46423009e-04,6.02487389,-3.12097591,-1
6.77489464e+03,5.39999803,-1.43181956e-10,2.67126884,3.62479626,1.60871905,-1.34509847,1.46127248e-04,6.03093075,-3.10276560,-1
7.07343818e+03,5.39999799,-1.38199882e-10,2.66214007,3.62562939,1.60248840,-1.34509847,1.45792046e-04,6.03703424,-3.08441687,-1
7.38522855e+03,5.39999795,-1.33358989e-10,2.65305318,3.62649740,1.59620895,-1.34509847,1.45489350e-04,6.04318715,-3.06592242,-1
7.71046661e+03,5.39999790,-1.28677817e-10,2.64382405,3.62735152,1.58988614,-1.34509847,1.45176893e-04,6.04938431,-3.04729978,-1
8.05004971e+03,5.39999786,-1.24119467e-10,2.63444930,3.62819029,1.58352123,-1.34509847,1.44810759e-04,6.05562534,-3.02854989,-1
8.40410389e+03,5.39999782,-1.19655924e-10,2.62492033,3.62900937,1.57711858,-1.34509847,1.44357314e-04,6.06190576,-3.00968673,-1
8.77423911e+03,5.39999777,-1.15354137e-10,2.61558088,3.62989862,1.57067035,-1.34509847,1.44007359e-04,6.06823237,-2.99068922,-1
9.16001524e+03,5.39999773,-1.11203057e-10,2.60605828,3.63076059,1.56418511,-1.34509847,1.43635246e-04,6.07459505,-2.97157873,-1
9.56305474e+03,5.39999769,-1.07142937e-10,2.59653432,3.63164168,1.55766096,-1.34510248,1.43215615e-04,6.08096230,-2.95231100,-1
9.98347734e+03,5.39999764,-1.03234232e-10,2.58687903,3.63250706,1.55110255,-1.34510683,1.42792269e-04,6.08732206,-2.93288426,-1
1.04219574e+04,5.39999760,-9.94377676e-11,2.57715569,3.63337163,1.54451174,-1.34510922,1.42337291e-04,6.09367526,-2.91330222,-1
1.08802329e+04,5.39999755,-9.57748319e-11,2.56748125,3.63426551,1.53788676,-1.34511022,1.41909313e-04,6.10002354,-2.89355325,-1
1.13581132e+04,5.39999751,-9.22117270e-11,2.55768297,3.63514189,1.53123485,-1.34511021,1.41414974e-04,6.10636192,-2.87365475,-1
1.18567549e+04,5.39999747,-8.87590833e-11,2.54798465,3.63605793,1.52455361,-1.34510972,1.40935587e-04,6.11269428,-2.85359687,-1
1.23776262e+04,5.39999742,-8.54671170e-11,2.53811436,3.63694337,1.51784759,-1.34510942,1.40469825e-04,6.11901900,-2.83339456,-1
1.29210032e+04,5.39999737,-8.22626044e-11,2.52824217,3.63783988,1.51111848,-1.34510889,1.39958460e-04,6.12534096,-2.81305661,-1
1.34876454e+04,5.39999733,-7.91400176e-11,2.51816858,3.63869340,1.50437464,-1.34510854,1.39333550e-04,6.13165757,-2.79260604,-1
1.40796855e+04,5.39999728,-7.61450183e-11,2.50833736,3.63961807,1.49760969,-1.34510841,1.38790695e-04,6.13798062,-2.77202757,-1
1.46974770e+04,5.39999724,-7.32697539e-11,2.49826911,3.64048802,1.49083566,-1.34511198,1.38195186e-04,6.14430559,-2.75136333,-1
1.53421104e+04,5.39999719,-7.04863980e-11,2.48821818,3.64136688,1.48405249,-1.34512889,1.37564353e-04,6.15063860,-2.73062046,-1
1.60150446e+04,5.39999715,-6.77885039e-11,2.47840193,3.64230898,1.47726016,-1.34514263,1.36939451e-04,6.15698472,-2.70980905,-1
1.67174474e+04,5.39999710,-6.52516691e-11,2.46829828,3.64317884,1.47046862,-1.34514770,1.36355211e-04,6.16333985,-2.68897498,-1
1.74508269e+04,5.39999705,-6.27508573e-11,2.45821386,3.64405062,1.46368284,-1.34514710,1.35626617e-04,6.16971003,-2.66812448,-1
1.82162089e+04,5.39999701,-6.03714825e-11,2.44816815,3.64492733,1.45690656,-1.34514568,1.34939508e-04,6.17611766,-2.64724721,-1
1.90149941e+04,5.39999696,-5.80836567e-11,2.43812387,3.64579578,1.45014753,-1.34514142,1.34225344e-04,6.18250682,-2.62648218,-1
1.98495116e+04,5.39999691,-5.58970114e-11,2.42827989,3.64670421,1.44340868,-1.34514940,1.33539961e-04,6.18891165,-2.60580851,-1
2.07210851e+04,5.39999686,-5.38092705e-11,2.41839187,3.64758607,1.43670095,-1.34518375,1.32831636e-04,6.19532379,-2.58525978,-1
2.16305828e+04,5.39999682,-5.17828264e-11,2.40839939,3.64841998,1.43003690,-1.34521264,1.32011916e-04,6.20171332,-2.56488836,-1
