star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
3.22520331e+02,1.34992316e+02,-2.88716135e-05,6.39555307,4.52220396,1.67604576,-1.34509849,7.00552026e+02,7.38474721,-5.78032819e-01,-1
3.28164549e+02,1.34992144e+02,-2.90096760e-05,6.39591232,4.52274046,1.67515240,-1.34509849,7.05838873e+02,7.38572156,-5.75195040e-01,-1
3.33808767e+02,1.34991972e+02,-2.91477384e-05,6.39627157,4.52327695,1.67425904,-1.34509849,7.11125720e+02,7.38669591,-5.72357261e-01,-1
3.39452985e+02,1.34991800e+02,-2.92858009e-05,6.39663082,4.52381344,1.67336568,-1.34509849,7.16412567e+02,7.38767025,-5.69519482e-01,-1
3.45097203e+02,1.34991628e+02,-2.94238633e-05,6.39699007,4.52434993,1.67247232,-1.34509849,7.21699414e+02,7.38864460,-5.66681703e-01,-1
3.50741421e+02,1.34991457e+02,-2.95619258e-05,6.39734932,4.52488642,1.67157897,-1.34509849,7.26986261e+02,7.38961895,-5.63843923e-01,-1
3.56385639e+02,1.34991285e+02,-2.96999882e-05,6.39770857,4.52542292,1.67068561,-1.34509849,7.32273108e+02,7.39059329,-5.61006144e-01,-1
3.62029857e+02,1.34991113e+02,-2.98380507e-05,6.39806782,4.52595941,1.66979225,-1.34509849,7.37559955e+02,7.39156764,-5.58168365e-01,-1
3.67674075e+02,1.34990941e+02,-2.99761131e-05,6.39842707,4.52649590,1.66889889,-1.34509849,7.42846802e+02,7.39254199,-5.55330586e-01,-1
3.73318293e+02,1.34990769e+02,-3.01141756e-05,6.39878632,4.52703239,1.66800553,-1.34509849,7.48133649e+02,7.39351633,-5.52492807e-01,-1
3.78962511e+02,1.34990597e+02,-3.02522380e-05,6.39914558,4.52756888,1.66711217,-1.34509849,7.53420496e+02,7.39449068,-5.49655028e-01,-1
3.84606729e+02,1.34990425e+02,-3.03903004e-05,6.39950483,4.52810537,1.66621882,-1.34509849,7.58707343e+02,7.39546502,-5.46817249e-01,-1
3.90882354e+02,1.34990227e+02,-3.05394354e-05,6.39984180,4.52871667,1.66516472,-1.34509849,7.64808717e+02,7.39653234,-5.43710605e-01,-1
3.97631099e+02,1.34990010e+02,-3.06968672e-05,6.40016209,4.52938401,1.66399018,-1.34509849,7.71520423e+02,7.39766932,-5.40402497e-01,-1
4.04379844e+02,1.34989792e+02,-3.08542989e-05,6.40048237,4.53005135,1.66281564,-1.34509849,7.78232129e+02,7.39880630,-5.37094390e-01,-1
4.11128589e+02,1.34989574e+02,-3.10117306e-05,6.40080266,4.53071869,1.66164110,-1.34509849,7.84943835e+02,7.39994329,-5.33786282e-01,-1
4.17877334e+02,1.34989357e+02,-3.11691623e-05,6.40112294,4.53138603,1.66046656,-1.34509849,7.91655542e+02,7.40108027,-5.30478175e-01,-1
4.24626079e+02,1.34989139e+02,-3.13265941e-05,6.40144322,4.53205337,1.65929203,-1.34509849,7.98367248e+02,7.40221725,-5.27170067e-01,-1
4.31374824e+02,1.34988921e+02,-3.14840258e-05,6.40176351,4.53272071,1.65811749,-1.34509849,8.05078954e+02,7.40335423,-5.23861960e-01,-1
