star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
1.35940880e+03,1.99999986,-8.81154894e-11,2.20123969,3.59340910,1.43647880,-1.34509847,8.20660168e-05,5.79895232,-2.99423439,-1
1.42610783e+03,1.99999986,-8.69593816e-11,2.19779426,3.59369768,1.43417892,-1.34509847,8.21337857e-05,5.80113846,-2.98767703,-1
1.49598510e+03,1.99999985,-8.57822144e-11,2.19433652,3.59402265,1.43180012,-1.34509847,8.22440992e-05,5.80339951,-2.98089626,-1
1.56920813e+03,1.99999984,-8.45999831e-11,2.19065153,3.59433054,1.42934184,-1.34509847,8.23334536e-05,5.80573708,-2.97388496,-1
1.64595881e+03,1.99999984,-8.33743182e-11,2.18686535,3.59465420,1.42680143,-1.34509847,8.24109662e-05,5.80815294,-2.96663840,-1
1.72640505e+03,1.99999983,-8.21292761e-11,2.18289466,3.59497319,1.42417810,-1.34509847,8.24696357e-05,5.81064800,-2.95915224,-1
1.81072074e+03,1.99999982,-8.08507939e-11,2.17880633,3.59530517,1.42146998,-1.34509847,8.25190458e-05,5.81322427,-2.95142212,-1
1.89912331e+03,1.99999982,-7.95551785e-11,2.17456505,3.59564209,1.41867549,-1.34509847,8.25633199e-05,5.81588325,-2.94344301,-1
1.99214381e+03,1.99999981,-7.82367181e-11,2.17031258,3.59602403,1.41578538,-1.34509847,8.26521801e-05,5.81863321,-2.93518890,-1
2.08963291e+03,1.99999980,-7.69235753e-11,2.16593160,3.59641843,1.41280610,-1.34509847,8.27673454e-05,5.82146850,-2.92667792,-1
2.19173399e+03,1.99999980,-7.55855630e-11,2.16125074,3.59678148,1.40973955,-1.34509847,8.28118860e-05,5.82438797,-2.91791350,-1
2.29861726e+03,1.99999979,-7.42099298e-11,2.15643750,3.59715543,1.40658505,-1.34509847,8.28306754e-05,5.82739160,-2.90889540,-1
2.41065530e+03,1.99999978,-7.28224614e-11,2.15167596,3.59758901,1.40333712,-1.34509847,8.29186201e-05,5.83048412,-2.89960940,-1
2.52859357e+03,1.99999977,-7.14501761e-11,2.14662334,3.59800021,1.39998840,-1.34509847,8.29883486e-05,5.83367354,-2.89003051,-1
2.65188152e+03,1.99999976,-7.00454642e-11,2.14144329,3.59842366,1.39655148,-1.34509847,8.30326007e-05,5.83694736,-2.88019727,-1
2.78109273e+03,1.99999975,-6.86299429e-11,2.13605299,3.59884124,1.39302116,-1.34509847,8.30489898e-05,5.84031093,-2.87009240,-1
2.91689866e+03,1.99999974,-6.71967648e-11,2.13063670,3.59930281,1.38938988,-1.34509847,8.30946675e-05,5.84377116,-2.85969380,-1
3.05875350e+03,1.99999973,-6.57861230e-11,2.12509128,3.59977660,1.38566960,-1.34509847,8.31744666e-05,5.84731684,-2.84903814,-1
3.20810948e+03,1.99999973,-6.43508800e-11,2.11929125,3.60023889,1.38184500,-1.34509847,8.31932370e-05,5.85096305,-2.83807805,-1
3.36411590e+03,1.99999972,-6.29048192e-11,2.11340587,3.60072437,1.37793135,-1.34509847,8.32141556e-05,5.85469462,-2.82685974,-1
3.52809946e+03,1.99999971,-6.14646505e-11,2.10731646,3.60120961,1.37391616,-1.34509847,8.32231875e-05,5.85852398,-2.81534411,-1
3.69980484e+03,1.99999969,-6.00219955e-11,2.10112412,3.60171626,1.36980670,-1.34509847,8.32372595e-05,5.86244387,-2.80355736,-1
3.87951399e+03,1.99999968,-5.85851648e-11,2.09480151,3.60223714,1.36560363,-1.34509847,8.32560886e-05,5.86645339,-2.79149579,-1
4.06848190e+03,1.99999967,-5.71428604e-11,2.08829208,3.60276234,1.36129852,-1.34509847,8.32458703e-05,5.87056093,-2.77913739,-1
4.26627392e+03,1.99999966,-5.57102489e-11,2.08160927,3.60329041,1.35690096,-1.34509847,8.32263252e-05,5.87475723,-2.76650812,-1
4.47346005e+03,1.99999965,-5.42757759e-11,2.07491652,3.60386361,1.35240819,-1.34509847,8.32314002e-05,5.87904518,-2.75360094,-1
4.69050868e+03,1.99999964,-5.28613112e-11,2.06792821,3.60440790,1.34782547,-1.34509847,8.31968155e-05,5.88333568,-2.74057870,-1
4.91838950e+03,1.99999963,-5.14434280e-11,2.06079334,3.60496424,1.34314534,-1.34509847,8.31356818e-05,5.88776525,-2.72719698,-1
5.15714952e+03,1.99999962,-5.00382339e-11,2.05348985,3.60552513,1.33837182,-1.34509847,8.30623914e-05,5.89231785,-2.71347665,-1
5.40736504e+03,1.99999960,-4.86434029e-11,2.04616070,3.60612623,1.33350504,-1.34509847,8.30147617e-05,5.89696885,-2.69946705,-1
5.66956694e+03,1.99999959,-4.72667766e-11,2.03867604,3.60673315,1.32854886,-1.34509847,8.29602591e-05,5.90169514,-2.68522100,-1
5.94430143e+03,1.99999958,-4.59080519e-11,2.03097806,3.60733186,1.32350246,-1.34509847,8.28810721e-05,5.90651945,-2.67068554,-1
6.23225830e+03,1.99999957,-4.45642966e-11,2.02328856,3.60797824,1.31836495,-1.34509847,8.28364562e-05,5.91143309,-2.65588055,-1
6.53393026e+03,1.99999955,-4.32359489e-11,2.01533368,3.60860129,1.31314140,-1.34509847,8.27400948e-05,5.91642979,-2.64082550,-1
6.84996480e+03,1.99999954,-4.19184811e-11,2.00718672,3.60921872,1.30783307,-1.34509847,8.26034587e-05,5.92150942,-2.62551331,-1
7.18126617e+03,1.99999953,-4.06264347e-11,1.99893530,3.60985278,1.30243925,-1.34509847,8.24768527e-05,5.92667234,-2.60994945,-1
7.52880717e+03,1.99999951,-3.93519817e-11,1.99076988,3.61055226,1.29695757,-1.34509847,8.23978638e-05,5.93192140,-2.59412102,-1
7.89274122e+03,1.99999950,-3.81099785e-11,1.98226659,3.61120687,1.29139671,-1.34509847,8.22730581e-05,5.93724869,-2.57805562,-1
8.27395376e+03,1.99999948,-3.68774946e-11,1.97373942,3.61189562,1.28575562,-1.34509847,8.21407181e-05,5.94265489,-2.56175282,-1
8.67310953e+03,1.99999947,-3.56791518e-11,1.96500614,3.61257138,1.28003746,-1.34509847,8.20019380e-05,5.94813754,-2.54521900,-1
9.09203788e+03,1.99999945,-3.44920978e-11,1.95610943,3.61324540,1.27424106,-1.34509847,8.18123434e-05,5.95369729,-2.52845220,-1
9.53064058e+03,1.99999944,-3.33309774e-11,1.94717273,3.61394641,1.26837069,-1.34509847,8.16392335e-05,5.95933022,-2.51146372,-1
9.98991676e+03,1.99999942,-3.22013622e-11,1.93811648,3.61465388,1.26242764,-1.34509847,8.14732101e-05,5.96503551,-2.49425302,-1
1.04716018e+04,1.99999941,-3.10863758e-11,1.92874599,3.61531730,1.25641554,-1.34509847,8.12154545e-05,5.97081016,-2.47683845,-1
1.09757847e+04,1.99999939,-3.00044105e-11,1.91951685,3.61605121,1.25033317,-1.34509847,8.10365383e-05,5.97665465,-2.45921377,-1
1.15046236e+04,1.99999938,-2.89441883e-11,1.91004166,3.61675692,1.24418415,-1.34509847,8.07989216e-05,5.98256689,-2.44138831,-1
1.20581167e+04,1.99999936,-2.79124971e-11,1.90056394,3.61749467,1.23796979,-1.34509847,8.05875858e-05,5.98854524,-2.42336489,-1
1.26385937e+04,1.99999935,-2.69101168e-11,1.89090637,3.61821930,1.23169174,-1.34509847,8.03550139e-05,5.99458847,-2.40514856,-1
1.32459080e+04,1.99999933,-2.59316982e-11,1.88117015,3.61895400,1.22535422,-1.34509847,8.01147688e-05,6.00069182,-2.38675034,-1
1.38831940e+04,1.99999932,-2.49785691e-11,1.87130631,3.61968700,1.21895631,-1.34509847,7.98522556e-05,6.00685625,-2.36816907,-1
1.45500480e+04,1.99999930,-2.40519193e-11,1.86131690,3.62041602,1.21250355,-1.34509847,7.95757928e-05,6.01307686,-2.34941810,-1
1.52489032e+04,1.99999928,-2.31518964e-11,1.85124007,3.62115090,1.20599539,-1.34509847,7.92928923e-05,6.01935478,-2.33050231,-1
1.59815257e+04,1.99999927,-2.22799848e-11,1.84122220,3.62192831,1.19943163,-1.34509847,7.90450819e-05,6.02568960,-2.31142538,-1
1.67482087e+04,1.99999925,-2.14327615e-11,1.83092843,3.62266009,1.19282119,-1.34509847,7.87398278e-05,6.03207292,-2.29220674,-1
1.75519720e+04,1.99999923,-2.06074940e-11,1.82074742,3.62344543,1.18616001,-1.34509847,7.84584653e-05,6.03850865,-2.27283356,-1
1.83943145e+04,1.99999922,-1.98224860e-11,1.81042856,3.62421967,1.17945208,-1.34509847,7.82125625e-05,6.04499401,-2.25330848,-1
1.92761491e+04,1.99999920,-1.90527187e-11,1.79990707,3.62496333,1.17270402,-1.34509847,7.78927476e-05,6.05152245,-2.23365894,-1
2.01998834e+04,1.99999918,-1.83040076e-11,1.78942865,3.62573798,1.16591552,-1.34509847,7.75758674e-05,6.05809369,-2.21388633,-1
2.11680054e+04,1.99999916,-1.75886628e-11,1.77885931,3.62650799,1.15909082,-1.34509847,7.72819475e-05,6.06470261,-2.19400540,-1
2.21824649e+04,1.99999915,-1.68942201e-11,1.76817828,3.62726520,1.15223589,-1.34509847,7.69521573e-05,6.07134359,-2.17403067,-1
2.32451092e+04,1.99999913,-1.62230166e-11,1.75746942,3.62802819,1.14535549,-1.34509847,7.66153703e-05,6.07801222,-2.15397521,-1
2.43581811e+04,1.99999911,-1.55752342e-11,1.74669208,3.62878357,1.13845605,-1.34509847,7.62613857e-05,6.08470245,-2.13385654,-1
2.55246694e+04,1.99999909,-1.49580242e-11,1.73605786,3.62958390,1.13153829,-1.34509847,7.59732114e-05,6.09141358,-2.11368039,-1
2.67462372e+04,1.99999908,-1.43583883e-11,1.72520869,3.63033186,1.12461778,-1.34509847,7.56047972e-05,6.09813024,-2.09348800,-1
2.80275674e+04,1.99999906,-1.37865411e-11,1.71446644,3.63110594,1.11769850,-1.34509847,7.52733766e-05,6.10484840,-2.07329107,-1
2.93700034e+04,1.99999904,-1.32336281e-11,1.70366865,3.63185729,1.11079690,-1.34509847,7.48947850e-05,6.11155247,-2.05313668,-1
