star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
1.86643689e+02,8.99980772e+01,-8.78908578e-06,5.96280189,4.22713657,2.04980495,-1.84509851,7.74983960e+01,6.83997636,-2.06547530,-1
1.91415474e+02,8.99980354e+01,-8.78678716e-06,5.96270880,4.22793655,2.04815844,-1.84509851,7.77570373e+01,6.84147692,-2.06101184,-1
1.96187259e+02,8.99979935e+01,-8.78448853e-06,5.96261571,4.22873653,2.04651194,-1.84509851,7.80156785e+01,6.84297748,-2.05654837,-1
2.00959044e+02,8.99979516e+01,-8.78218991e-06,5.96252262,4.22953651,2.04486544,-1.84509851,7.82743197e+01,6.84447804,-2.05208490,-1
2.05730829e+02,8.99979098e+01,-8.77989128e-06,5.96242953,4.23033649,2.04321893,-1.84509851,7.85329609e+01,6.84597860,-2.04762143,-1
2.10502614e+02,8.99978679e+01,-8.77759266e-06,5.96233644,4.23113647,2.04157243,-1.84509851,7.87916021e+01,6.84747916,-2.04315796,-1
2.15274399e+02,8.99978261e+01,-8.77529403e-06,5.96224335,4.23193645,2.03992592,-1.84509851,7.90502433e+01,6.84897971,-2.03869450,-1
2.20046183e+02,8.99977842e+01,-8.77299541e-06,5.96215025,4.23273643,2.03827942,-1.84509851,7.93088845e+01,6.85048027,-2.03423103,-1
2.24961808e+02,8.99977410e+01,-8.77420200e-06,5.96210330,4.23355603,2.03661675,-1.84509851,7.96007467e+01,6.85202089,-2.02964896,-1
2.30545358e+02,8.99976915e+01,-8.79168517e-06,5.96227061,4.23446671,2.03487904,-1.84509851,8.00468713e+01,6.85374752,-2.02451619,-1
2.36128908e+02,8.99976419e+01,-8.80916835e-06,5.96243792,4.23537739,2.03314132,-1.84509851,8.04929960e+01,6.85547416,-2.01938342,-1
2.41712458e+02,8.99975924e+01,-8.82665152e-06,5.96260522,4.23628808,2.03140361,-1.84509851,8.09391206e+01,6.85720079,-2.01425066,-1
2.47296009e+02,8.99975428e+01,-8.84413470e-06,5.96277253,4.23719876,2.02966590,-1.84509851,8.13852453e+01,6.85892742,-2.00911789,-1
2.52879559e+02,8.99974933e+01,-8.86161787e-06,5.96293984,4.23810945,2.02792818,-1.84509851,8.18313699e+01,6.86065405,-2.00398512,-1
2.58657723e+02,8.99974417e+01,-8.88314474e-06,5.96317221,4.23904907,2.02616511,-1.84509851,8.23189366e+01,6.86243354,-1.99869634,-1
2.64978307e+02,8.99973846e+01,-8.91594194e-06,5.96358594,4.24006938,2.02433136,-1.84509851,8.29220082e+01,6.86436034,-1.99297274,-1
2.71298890e+02,8.99973275e+01,-8.94873915e-06,5.96399966,4.24108968,2.02249762,-1.84509851,8.35250797e+01,6.86628714,-1.98724914,-1
2.77619473e+02,8.99972703e+01,-8.98153635e-06,5.96441339,4.24210999,2.02066387,-1.84509851,8.41281512e+01,6.86821394,-1.98152554,-1
2.83940056e+02,8.99972132e+01,-9.01433355e-06,5.96482712,4.24313029,2.01883012,-1.84509851,8.47312227e+01,6.87014074,-1.97580194,-1
2.90448991e+02,8.99971540e+01,-9.05105044e-06,5.96530175,4.24417730,2.01697342,-1.84509850,8.53761654e+01,6.87211769,-1.96993072,-1
2.97480171e+02,8.99970889e+01,-9.09863551e-06,5.96594525,4.24529835,2.01505307,-1.84509850,8.61372052e+01,6.87423372,-1.96365020,-1
3.04511351e+02,8.99970239e+01,-9.14622058e-06,5.96658876,4.24641940,2.01313272,-1.84509850,8.68982451e+01,6.87634974,-1.95736967,-1
3.11542532e+02,8.99969589e+01,-9.19380565e-06,5.96723227,4.24754045,2.01121238,-1.84509850,8.76592849e+01,6.87846577,-1.95108914,-1
3.18573712e+02,8.99968938e+01,-9.24139072e-06,5.96787577,4.24866151,2.00929203,-1.84509850,8.84203247e+01,6.88058180,-1.94480861,-1
3.26240512e+02,8.99968213e+01,-9.29289377e-06,5.96872266,4.24986742,2.00730364,-1.84509850,8.92361833e+01,6.88286620,-1.93803397,-1
3.34040048e+02,8.99967472e+01,-9.34521501e-06,5.96961202,4.25109106,2.00530105,-1.84509850,9.00634897e+01,6.88518577,-1.93115613,-1
3.41839585e+02,8.99966731e+01,-9.39753625e-06,5.97050138,4.25231469,2.00329846,-1.84509850,9.08907961e+01,6.88750533,-1.92427829,-1
