star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
1.28302489e+04,2.49999983e-01,-1.09727273e-12,2.45129324e-01,3.53085785,5.83526111e-01,-1.84509847,9.26222414e-06,5.73794077,-1.32619000,-1,-1.0
1.35504909e+04,2.49999982e-01,-1.07845880e-12,2.40052414e-01,3.53080537,5.81092621e-01,-1.84509847,9.17383471e-06,5.74018670,-1.31948547,-1,-0.9999988101788935
1.43113709e+04,2.49999981e-01,-1.05926974e-12,2.34779487e-01,3.53074982,5.78567247e-01,-1.84509847,9.08251101e-06,5.74251844,-1.31252680,-1,-0.9999975532248647
1.51153792e+04,2.49999981e-01,-1.03972162e-12,2.29306308e-01,3.53069104,5.75948217e-01,-1.84509847,8.98815038e-06,5.74493711,-1.30530681,-1,-0.9999962250240029
1.59643824e+04,2.49999980e-01,-1.01984203e-12,2.23631771e-01,3.53062903,5.73234987e-01,-1.84509847,8.89082675e-06,5.74744367,-1.29782426,-1,-0.999994822492733
1.68603679e+04,2.49999979e-01,-9.99656491e-13,2.17755101e-01,3.53056367,5.70427364e-01,-1.84509847,8.79056000e-06,5.75003810,-1.29007778,-1,-0.9999933423479218
1.78053173e+04,2.49999978e-01,-9.79192399e-13,2.11685219e-01,3.53049738,5.67525001e-01,-1.84509847,8.68755877e-06,5.75272079,-1.28206786,-1,-0.9999917813160176
1.88011639e+04,2.49999977e-01,-9.58499946e-13,2.05410714e-01,3.53042724,5.64528031e-01,-1.84509847,8.58187626e-06,5.75549168,-1.27379236,-1,-0.9999901362032589
1.98522723e+04,2.49999976e-01,-9.37555768e-13,1.98918154e-01,3.53035172,5.61432795e-01,-1.84509847,8.47294917e-06,5.75835452,-1.26524157,-1,-0.9999883997994397
2.09665871e+04,2.49999975e-01,-9.16382543e-13,1.92168711e-01,3.53027192,5.58217672e-01,-1.84509847,8.36104671e-06,5.76130258,-1.25639898,-1,-0.9999865589802867
2.21387401e+04,2.49999974e-01,-8.94824732e-13,1.85203528e-01,3.53018831,5.54902303e-01,-1.84509847,8.24447823e-06,5.76432942,-1.24730063,-1,-0.9999846226139272
2.33762748e+04,2.49999973e-01,-8.73286592e-13,1.78051425e-01,3.53010092,5.51501029e-01,-1.84509847,8.12610049e-06,5.76747301,-1.23790103,-1,-0.9999825782386947
2.46847755e+04,2.49999972e-01,-8.51613194e-13,1.70635936e-01,3.53000880,5.47977512e-01,-1.84509847,8.00489764e-06,5.77070802,-1.22819947,-1,-0.9999804166294706
2.60622311e+04,2.49999971e-01,-8.29875514e-13,1.63060455e-01,3.52991307,5.44381243e-01,-1.84509847,7.88046253e-06,5.77404060,-1.21823987,-1,-0.9999781411085399
2.75200302e+04,2.49999969e-01,-8.08255233e-13,1.55218775e-01,3.52981237,5.40661797e-01,-1.84509847,7.75501188e-06,5.77748210,-1.20794731,-1,-0.9999757328622306
2.90559096e+04,2.49999968e-01,-7.86332646e-13,1.47170779e-01,3.52970746,5.36847627e-01,-1.84509847,7.62394819e-06,5.78101550,-1.19738079,-1,-0.9999731956292904
3.06761134e+04,2.49999967e-01,-7.64553883e-13,1.38900309e-01,3.52959831,5.32930696e-01,-1.84509847,7.49142226e-06,5.78464802,-1.18651766,-1,-0.9999705190946283
3.23897397e+04,2.49999966e-01,-7.42961843e-13,1.30413187e-01,3.52948493,5.28913885e-01,-1.84509847,7.35722554e-06,5.78837748,-1.17536544,-1,-0.9999676882284187
3.41944983e+04,2.49999964e-01,-7.21265993e-13,1.21680085e-01,3.52936718,5.24782826e-01,-1.84509847,7.21900162e-06,5.79221227,-1.16389515,-1,-0.999964706814013
3.60973588e+04,2.49999963e-01,-6.99744841e-13,1.12803478e-01,3.52924620,5.20586497e-01,-1.84509847,7.07819765e-06,5.79611162,-1.15223246,-1,-0.9999615633378123
3.81098465e+04,2.49999962e-01,-6.78429186e-13,1.03624871e-01,3.52911961,5.16250361e-01,-1.84509847,6.93588269e-06,5.80014190,-1.14017364,-1,-0.9999582387603201
4.02329698e+04,2.49999960e-01,-6.57230412e-13,9.43405562e-02,3.52899720,5.11853038e-01,-1.84509847,6.79048915e-06,5.80423167,-1.12793431,-1,-0.9999547314156857
4.24721090e+04,2.49999959e-01,-6.36452486e-13,8.48120289e-02,3.52886453,5.07354109e-01,-1.84509847,6.64461943e-06,5.80841737,-1.11540556,-1,-0.9999510324157931
4.48341286e+04,2.49999957e-01,-6.15751813e-13,7.50773770e-02,3.52872602,5.02763805e-01,-1.84509847,6.49469946e-06,5.81269028,-1.10261333,-1,-0.9999471304206662
4.73259812e+04,2.49999956e-01,-5.95377024e-13,6.51232114e-02,3.52858351,4.98071742e-01,-1.84509847,6.34340738e-06,5.81706012,-1.08952809,-1,-0.9999430139447902
4.99552719e+04,2.49999954e-01,-5.75268873e-13,5.50099226e-02,3.52843815,4.93305820e-01,-1.84509847,6.18966431e-06,5.82150152,-1.07622875,-1,-0.999938670424737
5.27289106e+04,2.49999953e-01,-5.55490203e-13,4.46712422e-02,3.52828928,4.88434216e-01,-1.84509847,6.03750613e-06,5.82604359,-1.06262686,-1,-0.9999340884455312
5.56551652e+04,2.49999951e-01,-5.36032756e-13,3.41797580e-02,3.52813791,4.83491214e-01,-1.84509847,5.88470098e-06,5.83065576,-1.04881541,-1,-0.9999292543488162
5.87413242e+04,2.49999950e-01,-5.16951313e-13,2.34687109e-02,3.52798286,4.78445788e-01,-1.84509847,5.73090857e-06,5.83536579,-1.03471115,-1,-0.9999241560941791
6.19959049e+04,2.49999948e-01,-4.98257057e-13,1.25859439e-02,3.52782461,4.73320902e-01,-1.84509847,5.57592753e-06,5.84015307,-1.02037125,-1,-0.9999187796112611
6.54305406e+04,2.49999946e-01,-4.79915309e-13,1.54968316e-03,3.52766380,4.68124386e-01,-1.84509847,5.41927813e-06,5.84501057,-1.00582248,-1,-0.9999131056821523
6.90573718e+04,2.49999945e-01,-4.62007425e-13,-9.63507959e-03,3.52751228,4.62835046e-01,-1.84509847,5.26289457e-06,5.84995781,-9.91000227e-01,-1,-0.9999071142510615
7.28806746e+04,2.49999943e-01,-4.44600190e-13,-2.09888705e-02,3.52735408,4.57474560e-01,-1.84509847,5.10641567e-06,5.85497378,-9.75971782e-01,-1,-0.9999007982539825
7.69097079e+04,2.49999941e-01,-4.27527491e-13,-3.25122500e-02,3.52718811,4.52044804e-01,-1.84509847,4.94795493e-06,5.86005703,-9.60738309e-01,-1,-0.9998941423954526
8.11651909e+04,2.49999939e-01,-4.10924366e-13,-4.42068579e-02,3.52702039,4.46532951e-01,-1.84509847,4.78945036e-06,5.86521989,-9.45259100e-01,-1,-0.9998871124478905
