star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
5.30166551e+02,1.83999988,-2.17442178e-10,2.55241000,3.67807587,1.44273041,-3.34509847,7.12413111e-05,5.71407181,-3.06262112,-1,-1.0
5.56058611e+02,1.83999987,-2.14770461e-10,2.54859532,3.67831171,1.44035139,-3.34509847,7.14163361e-05,5.71635636,-3.05578555,-1,-0.9999933242089543
5.83184299e+02,1.83999987,-2.11838913e-10,2.54465601,3.67855488,1.43789539,-3.34509847,7.15267800e-05,5.71871511,-3.04872957,-1,-0.9999863303496375
6.11622675e+02,1.83999986,-2.08745607e-10,2.54058677,3.67880562,1.43535931,-3.34509847,7.16031786e-05,5.72115107,-3.04144016,-1,-0.9999789980378841
6.41444919e+02,1.83999986,-2.05544189e-10,2.53638409,3.67906410,1.43274100,-3.34509847,7.16623570e-05,5.72366620,-3.03391512,-1,-0.9999713089212415
6.72715890e+02,1.83999985,-2.02256176e-10,2.53204487,3.67933024,1.43003911,-3.34509847,7.17097310e-05,5.72626203,-3.02614851,-1,-0.9999632462770103
7.05502680e+02,1.83999984,-1.98883608e-10,2.52756459,3.67960352,1.42725240,-3.34509847,7.17430935e-05,5.72893946,-3.01813673,-1,-0.9999547928067533
7.39864602e+02,1.83999984,-1.95490480e-10,2.52294420,3.67988428,1.42438070,-3.34509847,7.17847486e-05,5.73169898,-3.00987991,-1,-0.9999459332177054
7.75858047e+02,1.83999983,-1.92069811e-10,2.51821038,3.68017930,1.42142374,-3.34509847,7.18438883e-05,5.73454061,-3.00137643,-1,-0.9999366529704854
8.13538952e+02,1.83999982,-1.88583413e-10,2.51334452,3.68048401,1.41838138,-3.34509847,7.18944325e-05,5.73746432,-2.99262445,-1,-0.9999269376427673
8.53128151e+02,1.83999981,-1.85063347e-10,2.50829198,3.68078833,1.41524647,-3.34509847,7.19314124e-05,5.74047757,-2.98360726,-1,-0.9999167302965696
8.94696451e+02,1.83999981,-1.81532462e-10,2.50309217,3.68110191,1.41201942,-3.34509847,7.19791018e-05,5.74357985,-2.97432137,-1,-0.9999060126756106
9.38167831e+02,1.83999980,-1.77960211e-10,2.49774541,3.68142128,1.40870731,-3.34509847,7.20174972e-05,5.74676419,-2.96478890,-1,-0.9998948043805058
9.83687692e+02,1.83999979,-1.74338356e-10,2.49225661,3.68174939,1.40530668,-3.34509847,7.20461364e-05,5.75003444,-2.95499955,-1,-0.999883067922284
1.03159623e+03,1.83999978,-1.70706933e-10,2.48667549,3.68210414,1.40180662,-3.34509847,7.21107358e-05,5.75340093,-2.94492313,-1,-0.9998707155876688
