-0.30, 34880.82520
-0.28, 34880.82520
-0.25, 34880.82520
-0.23, 34880.82520
-0.21, 34880.82520
-0.19, 34880.82520
-0.16, 34880.82520
-0.14, 34880.82520
-0.12, 34880.82520
-0.10, 34880.82520
-0.07, 34880.82520
-0.05, 34880.82520
-0.03, 34880.82520
-0.00, 34880.82520
0.02, 34880.82520
0.04, 34880.82520
0.06, 34880.82520
0.09, 34880.82520
0.11, 34880.82520
0.13, 34880.82520
0.15, 34880.82520
0.18, 34880.82520
0.20, 34880.82520
0.22, 34880.82520
0.25, 34880.82520
0.27, 34880.82520
0.29, 36170.92553
0.31, 36170.92553
0.34, 36170.92553
0.36, 36170.92553
0.38, 36170.92553
0.40, 36170.92553
0.43, 37508.74143
0.45, 37508.74143
0.47, 37508.74143
0.50, 37508.74143
0.52, 37508.74143
0.54, 37508.74143
0.56, 38896.03773
0.59, 38896.03773
0.61, 38896.03773
0.63, 38896.03773
0.65, 40334.64449
0.68, 40334.64449
0.70, 40334.64449
0.72, 40334.64449
0.75, 40334.64449
0.77, 41826.45949
0.79, 41826.45949
0.81, 41826.45949
0.84, 41826.45949
0.86, 43373.45067
0.88, 43373.45067
0.90, 43373.45067
0.93, 44977.65879
0.95, 44977.65879
0.97, 44977.65879
1.00, 44977.65879
1.02, 46641.20006
1.04, 46641.20006
1.06, 46641.20006
1.09, 46641.20006
1.11, 48366.26898
1.13, 48366.26898
1.15, 48366.26898
1.18, 50155.14120
1.20, 50155.14120
1.22, 50155.14120
1.25, 52010.17656
1.27, 52010.17656
1.29, 52010.17656
1.31, 53933.82215
1.34, 53933.82215
1.36, 53933.82215
1.38, 53933.82215
1.40, 55928.61560
1.43, 55928.61560
1.45, 55928.61560
1.47, 57997.18837
1.50, 57997.18837
1.52, 60142.26927
1.54, 60142.26927
1.56, 60142.26927
1.59, 62366.68801
1.61, 62366.68801
1.63, 62366.68801
1.65, 64673.37898
1.68, 64673.37898
1.70, 64673.37898
1.72, 67065.38510
1.75, 67065.38510
1.77, 69545.86183
1.79, 69545.86183
1.81, 69545.86183
1.84, 72118.08134
