star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
1.11964564e+02,6.49975548e+01,-2.67378415e-05,5.69540661,3.86932678,2.63172690,-1.34509848,2.24461644e+01,6.48783410,-3.03526834,-1,-1.0
1.15248076e+02,6.49974660e+01,-2.68296663e-05,5.69713077,3.87110938,2.62902378,-1.34509848,2.39716464e+01,6.48953420,-3.03042670,-1,-0.9997665946448969
1.18531588e+02,6.49973772e+01,-2.69214911e-05,5.69885493,3.87289198,2.62632066,-1.34509848,2.54971283e+01,6.49123430,-3.02558506,-1,-0.9995331892897938
1.21815099e+02,6.49972883e+01,-2.70133159e-05,5.70057908,3.87467458,2.62361754,-1.34509848,2.70226102e+01,6.49293440,-3.02074342,-1,-0.9992997840057749
1.25242975e+02,6.49971956e+01,-2.70534795e-05,5.70241668,3.87682100,2.62024350,-1.34509848,2.89732725e+01,6.49469835,-3.01571289,-1,-0.9990561166718259
1.28771133e+02,6.49971001e+01,-2.70577572e-05,5.70433308,3.87922015,2.61640340,-1.34509848,3.12192823e+01,6.49650665,-3.01055115,-1,-0.9988053208864444
1.32299290e+02,6.49970046e+01,-2.70620349e-05,5.70624948,3.88161930,2.61256330,-1.34509848,3.34652920e+01,6.49831495,-3.00538942,-1,-0.9985545251721469
1.35893228e+02,6.49969076e+01,-2.70411699e-05,5.70856838,3.88446005,2.60804124,-1.34509848,3.62543979e+01,6.50015179,-3.00013919,-1,-0.9982990534774772
1.39555360e+02,6.49968089e+01,-2.69942404e-05,5.71130454,3.88775861,2.60281221,-1.34509848,3.96065134e+01,6.50201821,-2.99479723,-1,-0.9980387342766049
1.43217491e+02,6.49967102e+01,-2.69473109e-05,5.71404071,3.89105716,2.59758318,-1.34509848,4.29586289e+01,6.50388463,-2.98945527,-1,-0.9977784151468168
1.46948641e+02,6.49966101e+01,-2.68949250e-05,5.71672405,3.89497820,2.59108278,-1.34509848,4.70741668e+01,6.50577802,-2.98402537,-1,-0.997513189866479
1.50687406e+02,6.49965098e+01,-2.68419371e-05,5.71940157,3.89896792,2.58444211,-1.34509848,5.12739377e+01,6.50767438,-2.97858577,-1,-0.9972474232810448
