star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
1.77030015e+03,5.99999960e-01,-1.99146751e-11,3.65145321,9.69336685e-01,-2.84509906,7.47426517e-01,4.16806577e-05,5.71459949,-2.10424256,-1,-1.0
1.86819281e+03,5.99999958e-01,-1.96027225e-11,3.65169965,9.66825690e-01,-2.84509903,7.47426515e-01,4.16806579e-05,5.71695090,-2.09722404,-1,-0.99999850349678
1.97155054e+03,5.99999956e-01,-1.92957171e-11,3.65188128,9.64217899e-01,-2.84509900,7.47426513e-01,4.16806580e-05,5.71939352,-2.08993259,-1,-0.999996923448023
2.08064383e+03,5.99999954e-01,-1.89706458e-11,3.65206752,9.61511471e-01,-2.84509897,7.47426511e-01,4.16806582e-05,5.72192906,-2.08236161,-1,-0.9999952557186983
2.19571445e+03,5.99999952e-01,-1.86407696e-11,3.65225998,9.58705789e-01,-2.84509895,7.47426510e-01,4.16806584e-05,5.72455835,-2.07451007,-1,-0.999993496612823
2.31701148e+03,5.99999950e-01,-1.83032435e-11,3.65245848,9.55800168e-01,-2.84509892,7.47426508e-01,4.16806585e-05,5.72728179,-2.06637753,-1,-0.999991642322665
2.44478561e+03,5.99999947e-01,-1.79589674e-11,3.65265972,9.52794129e-01,-2.84509890,7.47426507e-01,4.16806586e-05,5.73010030,-2.05796117,-1,-0.9999896890158801
2.57928828e+03,5.99999945e-01,-1.76125109e-11,3.65286865,9.49687753e-01,-2.84509888,7.47426506e-01,4.16806588e-05,5.73301332,-2.04926084,-1,-0.9999876328486583
2.72193947e+03,5.99999943e-01,-1.72603464e-11,3.65309117,9.46464557e-01,-2.84509885,7.47426504e-01,4.16806590e-05,5.73603720,-2.04022806,-1,-0.9999854521135024
2.87211175e+03,5.99999940e-01,-1.69013336e-11,3.65330796,9.43138166e-01,-2.84509882,7.47426502e-01,4.16806592e-05,5.73915876,-2.03090374,-1,-0.9999831564020509
3.02997758e+03,5.99999937e-01,-1.65403425e-11,3.65353032,9.39710617e-01,-2.84509879,7.47426501e-01,4.16806594e-05,5.74237642,-2.02129231,-1,-0.9999807430778761
3.19749003e+03,5.99999935e-01,-1.61776907e-11,3.65381168,9.36159437e-01,-2.84509876,7.47426499e-01,4.16806596e-05,5.74571111,-2.01132976,-1,-0.9999781822840351
3.37319577e+03,5.99999932e-01,-1.58126216e-11,3.65405637,9.32509970e-01,-2.84509873,7.47426497e-01,4.16806598e-05,5.74913950,-2.00108571,-1,-0.9999754962378528
3.55941997e+03,5.99999929e-01,-1.54437642e-11,3.65431647,9.28739468e-01,-2.84509870,7.47426495e-01,4.16806600e-05,5.75268293,-1.99049822,-1,-0.9999726493940246
3.75494646e+03,5.99999926e-01,-1.50732868e-11,3.65457786,9.24866821e-01,-2.84509868,7.47426493e-01,4.16806603e-05,5.75632389,-1.97961842,-1,-0.9999696603443669
3.96191258e+03,5.99999923e-01,-1.46985278e-11,3.65483359,9.20875128e-01,-2.84509865,7.47426492e-01,4.16806606e-05,5.76007839,-1.96839724,-1,-0.9999664964149669
4.17984111e+03,5.99999920e-01,-1.43230180e-11,3.65509273,9.16775632e-01,-2.84509862,7.47426490e-01,4.16806609e-05,5.76393578,-1.95686878,-1,-0.9999631649011755
4.40928363e+03,5.99999917e-01,-1.39443194e-11,3.65535385,9.12568006e-01,-2.84509860,7.47426489e-01,4.16806612e-05,5.76789677,-1.94502859,-1,-0.999959657370887
4.65185605e+03,5.99999913e-01,-1.35673845e-11,3.65569957,9.08240866e-01,-2.84509858,7.47426488e-01,4.16806616e-05,5.77197148,-1.93284919,-1,-0.9999559491213859
4.90759305e+03,5.99999910e-01,-1.32018193e-11,3.65600133,9.03801800e-01,-2.84509857,7.47426487e-01,4.16806620e-05,5.77615310,-1.92034880,-1,-0.9999520396225127
5.17711643e+03,5.99999906e-01,-1.28296404e-11,3.65629127,8.99253726e-01,-2.84509855,7.47426486e-01,4.16806624e-05,5.78043937,-1.90753410,-1,-0.9999479193686956
5.46120744e+03,5.99999903e-01,-1.24562418e-11,3.65658123,8.94596547e-01,-2.84509854,7.47426485e-01,4.16806630e-05,5.78482964,-1.89440636,-1,-0.9999435764168213
5.76074871e+03,5.99999899e-01,-1.20863110e-11,3.65687196,8.89830762e-01,-2.84509853,7.47426485e-01,4.16806638e-05,5.78932400,-1.88096602,-1,-0.9999389972739615
6.07656971e+03,5.99999896e-01,-1.17187473e-11,3.65716761,8.84957463e-01,-2.84509852,7.47426484e-01,4.16806649e-05,5.79392142,-1.86721350,-1,-0.9999341692598547
6.40957351e+03,5.99999892e-01,-1.13540852e-11,3.65747784,8.79976273e-01,-2.84509851,7.47426483e-01,4.16806665e-05,5.79864788,-1.85310849,-1,-0.9999290785691025
6.76062963e+03,5.99999888e-01,-1.09923496e-11,3.65777607,8.74891722e-01,-2.84509850,7.47426483e-01,4.16806685e-05,5.80342438,-1.83878695,-1,-0.9999237119091919
7.13068232e+03,5.99999884e-01,-1.06357221e-11,3.65807735,8.69704646e-01,-2.84509849,7.47426482e-01,4.16806712e-05,5.80829906,-1.82416864,-1,-0.9999180548451981
7.52067321e+03,5.99999880e-01,-1.02821400e-11,3.65838719,8.64416363e-01,-2.84509849,7.47426482e-01,4.16806738e-05,5.81327857,-1.80924840,-1,-0.999912092982249
7.93164364e+03,5.99999876e-01,-9.93638670e-12,3.65871757,8.59027387e-01,-2.84509848,7.47426482e-01,4.16806787e-05,5.81836222,-1.79402418,-1,-0.9999058104011872
8.36559985e+03,5.99999872e-01,-9.59460782e-12,3.65903471,8.53538540e-01,-2.84509848,7.47426482e-01,4.16806825e-05,5.82355563,-1.77848128,-1,-0.9998991764322502
8.82282738e+03,5.99999867e-01,-9.26207715e-12,3.65939159,8.47951332e-01,-2.84509848,7.47426482e-01,4.16806903e-05,5.82884205,-1.76265606,-1,-0.9998921867103354
9.30415136e+03,5.99999863e-01,-8.93243960e-12,3.65970803,8.42273904e-01,-2.84509848,7.47426482e-01,4.16806976e-05,5.83421960,-1.74655828,-1,-0.9998848286215276
9.81215236e+03,5.99999858e-01,-8.60872253e-12,3.66002632,8.36502613e-01,-2.84509848,7.47426482e-01,4.16807103e-05,5.83968657,-1.73019355,-1,-0.9998770627161753
1.03472491e+04,5.99999854e-01,-8.29091490e-12,3.66032895,8.30644254e-01,-2.84509848,7.47426482e-01,4.16807243e-05,5.84523997,-1.71357076,-1,-0.9998688825932283
1.09112088e+04,5.99999849e-01,-7.97990654e-12,3.66067808,8.24696880e-01,-2.84509847,7.47426481e-01,4.16807622e-05,5.85088067,-1.69668655,-1,-0.9998602612368673
1.15059899e+04,5.99999845e-01,-7.67798576e-12,3.66101352,8.18662621e-01,-2.84509847,7.47426481e-01,4.16807795e-05,5.85660694,-1.67954059,-1,-0.9998511687080575
1.21323448e+04,5.99999840e-01,-7.38363411e-12,3.66132876,8.12548418e-01,-2.84509847,7.47426481e-01,4.16808208e-05,5.86241228,-1.66216043,-1,-0.9998415935047205
1.27926152e+04,5.99999835e-01,-7.09452140e-12,3.66163366,8.06355894e-01,-2.84509847,7.47426481e-01,4.16808797e-05,5.86829495,-1.64454426,-1,-0.999831499828855
1.34886842e+04,5.99999831e-01,-6.81424461e-12,3.66195791,8.00084787e-01,-2.84509847,7.47426481e-01,4.16809634e-05,5.87425526,-1.62669368,-1,-0.9998208588931625
1.42214837e+04,5.99999826e-01,-6.54154542e-12,3.66228623,7.93740459e-01,-2.84509847,7.47426481e-01,4.16810506e-05,5.88028809,-1.60862114,-1,-0.9998096564515153
1.49948174e+04,5.99999821e-01,-6.27557771e-12,3.66258043,7.87325122e-01,-2.84509847,7.47426481e-01,4.16811998e-05,5.88639196,-1.59033667,-1,-0.9997978343560471
1.58098645e+04,5.99999816e-01,-6.02006229e-12,3.66297251,7.80832040e-01,-2.84509847,7.47426481e-01,4.16813837e-05,5.89257294,-1.57182103,-1,-0.9997853745801091
1.66676630e+04,5.99999811e-01,-5.77063395e-12,3.66326978,7.74277682e-01,-2.84509847,7.47426481e-01,4.16816466e-05,5.89881578,-1.55311970,-1,-0.999772261255603
1.75719565e+04,5.99999806e-01,-5.52815210e-12,3.66356124,7.67660953e-01,-2.84509847,7.47426481e-01,4.16820329e-05,5.90512120,-1.53423002,-1,-0.9997584371534227
1.85259313e+04,5.99999801e-01,-5.29585888e-12,3.66392903,7.60974762e-01,-2.84509847,7.47426481e-01,4.16825174e-05,5.91149537,-1.51513264,-1,-0.9997438535640099
1.95303646e+04,5.99999795e-01,-5.06927687e-12,3.66423188,7.54235126e-01,-2.84509847,7.47426481e-01,4.16832634e-05,5.91792380,-1.49587009,-1,-0.9997284986061643
2.05884617e+04,5.99999790e-01,-4.85001644e-12,3.66451895,7.47442578e-01,-2.84509847,7.47426480e-01,4.16842621e-05,5.92440615,-1.47643762,-1,-0.9997123232798713
2.17032414e+04,5.99999785e-01,-4.63819876e-12,3.66479913,7.40600044e-01,-2.84509847,7.47426480e-01,4.16855922e-05,5.93094054,-1.45685064,-1,-0.9996952814361763
2.28780029e+04,5.99999780e-01,-4.43401172e-12,3.66508809,7.33707707e-01,-2.84509847,7.47426479e-01,4.16873936e-05,5.93752629,-1.43711254,-1,-0.9996773226395981
2.41163445e+04,5.99999774e-01,-4.23823579e-12,3.66540617,7.26765123e-01,-2.84509847,7.47426479e-01,4.16895686e-05,5.94416365,-1.41722142,-1,-0.999658391882258
2.54210292e+04,5.99999769e-01,-4.04918474e-12,3.66567061,7.19785334e-01,-2.84509847,7.47426477e-01,4.16930220e-05,5.95083988,-1.39721016,-1,-0.9996384469256638
2.67958997e+04,5.99999764e-01,-3.86659470e-12,3.66594134,7.12767857e-01,-2.84509847,7.47426476e-01,4.16974213e-05,5.95755542,-1.37707785,-1,-0.9996174290257489
2.82453878e+04,5.99999758e-01,-3.69393646e-12,3.66625809,7.05711910e-01,-2.84509847,7.47426474e-01,4.17028180e-05,5.96431127,-1.35681894,-1,-0.999595270432766
