star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
2.37281409e+04,9.99999930e-02,-2.47817935e-13,-4.18162222e-01,3.55515479,2.03286471e-01,-3.34509847,5.13109271e-07,5.71269911,-6.11459954e-01,-1,-1.0
2.50698681e+04,9.99999926e-02,-2.43465322e-13,-4.23333182e-01,3.55512192,2.00766728e-01,-3.34509847,4.98083519e-07,5.71498561,-6.04549478e-01,-1,-0.9999988611545151
2.64866761e+04,9.99999923e-02,-2.39036403e-13,-4.28688762e-01,3.55508793,1.98156917e-01,-3.34509847,4.82973498e-07,5.71732503,-5.97447403e-01,-1,-0.9999976585811502
2.79816306e+04,9.99999920e-02,-2.34537148e-13,-4.34244207e-01,3.55505248,1.95450097e-01,-3.34509847,4.67783286e-07,5.71978674,-5.90011558e-01,-1,-0.9999963896777677
2.95578592e+04,9.99999916e-02,-2.29960861e-13,-4.39990114e-01,3.55501582,1.92650456e-01,-3.34509847,4.52536435e-07,5.72232994,-5.82327696e-01,-1,-0.9999950517896901
3.12184158e+04,9.99999912e-02,-2.25322821e-13,-4.45929182e-01,3.55497796,1.89756635e-01,-3.34509847,4.37274369e-07,5.72496088,-5.74377973e-01,-1,-0.9999936423247956
3.29818492e+04,9.99999908e-02,-2.20617465e-13,-4.52092701e-01,3.55493880,1.86753211e-01,-3.34509847,4.22035632e-07,5.72769351,-5.66121122e-01,-1,-0.9999921455390366
3.48397290e+04,9.99999904e-02,-2.15860943e-13,-4.58450992e-01,3.55489865,1.83654355e-01,-3.34509847,4.06850072e-07,5.73051175,-5.57603134e-01,-1,-0.9999905685880575
3.67968160e+04,9.99999900e-02,-2.11061331e-13,-4.65006886e-01,3.55485753,1.80458651e-01,-3.34509847,3.91754111e-07,5.73341938,-5.48812225e-01,-1,-0.9999889074309359
3.88725153e+04,9.99999896e-02,-2.06216442e-13,-4.71788481e-01,3.55481528,1.77152353e-01,-3.34509847,3.76780121e-07,5.73642879,-5.39711389e-01,-1,-0.9999871455968047
4.10538681e+04,9.99999891e-02,-2.01340838e-13,-4.78761133e-01,3.55477203,1.73752533e-01,-3.34509847,3.61939683e-07,5.73952410,-5.30348150e-01,-1,-0.9999852940849718
4.33677318e+04,9.99999887e-02,-1.96436935e-13,-4.85961846e-01,3.55472761,1.70241019e-01,-3.34509847,3.47290552e-07,5.74272115,-5.20673471e-01,-1,-0.9999833300991278
4.58034840e+04,9.99999882e-02,-1.91514666e-13,-4.93361814e-01,3.55468227,1.66631707e-01,-3.34509847,3.32835549e-07,5.74600855,-5.10722444e-01,-1,-0.9999812626554662
4.83759937e+04,9.99999877e-02,-1.86580543e-13,-5.00972782e-01,3.55463629,1.62918179e-01,-3.34509847,3.18625903e-07,5.74939200,-5.00478652e-01,-1,-0.999979079133319
5.10963161e+04,9.99999872e-02,-1.81642374e-13,-5.08799197e-01,3.55458976,1.59098030e-01,-3.34509847,3.04695823e-07,5.75287389,-4.89933018e-01,-1,-0.999976770149136
5.39639487e+04,9.99999867e-02,-1.76707463e-13,-5.16827536e-01,3.55454298,1.55177430e-01,-3.34509847,2.91058533e-07,5.75644782,-4.79107778e-01,-1,-0.9999743361294345
5.69891227e+04,9.99999862e-02,-1.71781674e-13,-5.25060751e-01,3.55449585,1.51155085e-01,-3.34509847,2.77730678e-07,5.76011632,-4.67993119e-01,-1,-0.9999717683900677
6.01845659e+04,9.99999857e-02,-1.66879946e-13,-5.33502399e-01,3.55444841,1.47029129e-01,-3.34509847,2.64754165e-07,5.76388031,-4.56587828e-01,-1,-0.9999690561277982
6.35611228e+04,9.99999851e-02,-1.61999459e-13,-5.42153498e-01,3.55440052,1.42799372e-01,-3.34509847,2.52126282e-07,5.76774017,-4.44889449e-01,-1,-0.9999661901379159
6.71239978e+04,9.99999846e-02,-1.57152349e-13,-5.51004167e-01,3.55435238,1.38470311e-01,-3.34509847,2.39866443e-07,5.77169103,-4.32914146e-01,-1,-0.9999631660029747
7.08839132e+04,9.99999840e-02,-1.52346643e-13,-5.60053288e-01,3.55430445,1.34041607e-01,-3.34509847,2.27998666e-07,5.77573376,-4.20656565e-01,-1,-0.9999599746219869
7.48518763e+04,9.99999834e-02,-1.47588480e-13,-5.69292996e-01,3.55425702,1.29516617e-01,-3.34509847,2.16539200e-07,5.77986455,-4.08128497e-01,-1,-0.9999566066520594
7.90390254e+04,9.99999828e-02,-1.42884944e-13,-5.78727736e-01,3.55421000,1.24893288e-01,-3.34509847,2.05486487e-07,5.78408590,-3.95316475e-01,-1,-0.9999530526391072
8.34577516e+04,9.99999822e-02,-1.38240235e-13,-5.88345720e-01,3.55416359,1.20177122e-01,-3.34509847,1.94852116e-07,5.78839297,-3.82242691e-01,-1,-0.9999493020656808
8.81273278e+04,9.99999815e-02,-1.33659656e-13,-5.98154709e-01,3.55411798,1.15363832e-01,-3.34509847,1.84644695e-07,5.79278977,-3.68885785e-01,-1,-0.9999453385731231
9.30542225e+04,9.99999809e-02,-1.29152313e-13,-6.08138540e-01,3.55407353,1.10460818e-01,-3.34509847,1.74866719e-07,5.79726971,-3.55272653e-01,-1,-0.9999411566710318
9.82509208e+04,9.99999802e-02,-1.24720629e-13,-6.18297205e-01,3.55402949,1.05469568e-01,-3.34509847,1.65496019e-07,5.80183181,-3.41406968e-01,-1,-0.999936745762171
1.03730468e+05,9.99999796e-02,-1.20368271e-13,-6.28615190e-01,3.55398770,1.00394165e-01,-3.34509847,1.56556097e-07,5.80647179,-3.27299892e-01,-1,-0.9999320947738121
1.09524419e+05,9.99999789e-02,-1.16112678e-13,-6.39101271e-01,3.55394691,9.52327029e-02,-3.34509847,1.48049878e-07,5.81119086,-3.12950180e-01,-1,-0.9999271769224515
