star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
2.23972437e+02,1.09999959e+02,-2.23010046e-07,6.22879298,4.39755383,1.84196597,-3.34509849,2.37516777,7.05960549,-1.46456488,-1
2.28783200e+02,1.09999958e+02,-2.25887340e-07,6.22882603,4.39837684,1.84033649,-3.34509849,2.41749942,7.06092244,-1.46076204,-1
2.33593963e+02,1.09999957e+02,-2.28764633e-07,6.22885909,4.39919985,1.83870700,-3.34509850,2.45983108,7.06223940,-1.45695921,-1
2.38404725e+02,1.09999956e+02,-2.31641927e-07,6.22889214,4.40002286,1.83707751,-3.34509850,2.50216274,7.06355636,-1.45315638,-1
2.43215488e+02,1.09999954e+02,-2.34519220e-07,6.22892520,4.40084586,1.83544802,-3.34509850,2.54449439,7.06487331,-1.44935354,-1
2.48026251e+02,1.09999953e+02,-2.37396514e-07,6.22895825,4.40166887,1.83381853,-3.34509850,2.58682605,7.06619027,-1.44555071,-1
2.52837014e+02,1.09999952e+02,-2.40273808e-07,6.22899131,4.40249188,1.83218905,-3.34509850,2.62915770,7.06750723,-1.44174788,-1
2.57787584e+02,1.09999951e+02,-2.43199798e-07,6.22902130,4.40333542,1.83051696,-3.34509850,2.67288712,7.06885651,-1.43785154,-1
2.63222137e+02,1.09999949e+02,-2.46294365e-07,6.22904070,4.40425005,1.82869740,-3.34509850,2.72145532,7.07031769,-1.43363152,-1
2.68656690e+02,1.09999948e+02,-2.49388933e-07,6.22906010,4.40516468,1.82687785,-3.34509850,2.77002352,7.07177887,-1.42941149,-1
2.74091244e+02,1.09999947e+02,-2.52483500e-07,6.22907950,4.40607931,1.82505829,-3.34509850,2.81859171,7.07324004,-1.42519147,-1
2.79525797e+02,1.09999945e+02,-2.55578068e-07,6.22909890,4.40699393,1.82323874,-3.34509850,2.86715991,7.07470122,-1.42097144,-1
2.84960350e+02,1.09999944e+02,-2.58672636e-07,6.22911830,4.40790856,1.82141918,-3.34509850,2.91572811,7.07616240,-1.41675142,-1
2.90733427e+02,1.09999942e+02,-2.61925660e-07,6.22912821,4.40886996,1.81950134,-3.34509850,2.96841949,7.07769815,-1.41231551,-1
2.96763144e+02,1.09999940e+02,-2.65298812e-07,6.22913091,4.40986681,1.81750900,-3.34509850,3.02423673,7.07929044,-1.40771595,-1
3.02792861e+02,1.09999939e+02,-2.68671965e-07,6.22913361,4.41086366,1.81551665,-3.34509850,3.08005396,7.08088272,-1.40311639,-1
3.08822578e+02,1.09999937e+02,-2.72045118e-07,6.22913632,4.41186050,1.81352430,-3.34509850,3.13587120,7.08247501,-1.39851682,-1
3.14852294e+02,1.09999935e+02,-2.75418270e-07,6.22913902,4.41285735,1.81153196,-3.34509850,3.19168844,7.08406730,-1.39391726,-1
3.21253118e+02,1.09999934e+02,-2.78626308e-07,6.22912878,4.41390164,1.80943826,-3.34509850,3.24830832,7.08573572,-1.38909677,-1
3.27925048e+02,1.09999932e+02,-2.81713722e-07,6.22910907,4.41498058,1.80727053,-3.34509851,3.30551457,7.08745976,-1.38411488,-1
3.34596979e+02,1.09999930e+02,-2.84801136e-07,6.22908937,4.41605952,1.80510280,-3.34509851,3.36272082,7.08918380,-1.37913300,-1
3.41268910e+02,1.09999928e+02,-2.87888551e-07,6.22906967,4.41713846,1.80293507,-3.34509851,3.41992707,7.09090784,-1.37415111,-1
3.47940841e+02,1.09999926e+02,-2.90975965e-07,6.22904997,4.41821740,1.80076734,-3.34509851,3.47713332,7.09263188,-1.36916923,-1
3.54739315e+02,1.09999924e+02,-2.94126484e-07,6.22902574,4.41931145,1.79856711,-3.34509851,3.53609852,7.09438045,-1.36411610,-1
3.62177144e+02,1.09999921e+02,-2.97595840e-07,6.22897866,4.42048188,1.79620271,-3.34509851,3.60395080,7.09625294,-1.35870298,-1
3.69614973e+02,1.09999919e+02,-3.01065196e-07,6.22893158,4.42165231,1.79383832,-3.34509851,3.67180307,7.09812543,-1.35328986,-1
3.77052803e+02,1.09999917e+02,-3.04534552e-07,6.22888450,4.42282274,1.79147392,-3.34509851,3.73965535,7.09999791,-1.34787674,-1
3.84490632e+02,1.09999914e+02,-3.08003908e-07,6.22883742,4.42399317,1.78910952,-3.34509851,3.80750763,7.10187040,-1.34246362,-1
3.91928462e+02,1.09999912e+02,-3.11473264e-07,6.22879034,4.42516360,1.78674513,-3.34509851,3.87535990,7.10374289,-1.33705050,-1
3.99627353e+02,1.09999910e+02,-3.15606978e-07,6.22873542,4.42636564,1.78431357,-3.34509851,3.95411829,7.10566646,-1.33148886,-1
4.07835526e+02,1.09999907e+02,-3.21036733e-07,6.22866518,4.42762936,1.78175101,-3.34509852,4.05415251,7.10768970,-1.32563748,-1
4.16043699e+02,1.09999904e+02,-3.26466487e-07,6.22859494,4.42889309,1.77918845,-3.34509852,4.15418672,7.10971294,-1.31978610,-1
4.24251872e+02,1.09999901e+02,-3.31896242e-07,6.22852470,4.43015681,1.77662589,-3.34509852,4.25422093,7.11173618,-1.31393472,-1
4.32460045e+02,1.09999899e+02,-3.37325996e-07,6.22845447,4.43142053,1.77406333,-3.34509852,4.35425514,7.11375943,-1.30808334,-1
4.41244983e+02,1.09999895e+02,-3.42734815e-07,6.22836609,4.43274705,1.77136610,-3.34509852,4.46094419,7.11588770,-1.30192741,-1
4.50132742e+02,1.09999892e+02,-3.48139901e-07,6.22827449,4.43408477,1.76864485,-3.34509852,4.56881958,7.11803469,-1.29571719,-1
