star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
5.88118930e+02,1.83999988,-1.88565874e-10,2.49068181,3.66307487,1.44186831,-2.84509872,5.31960641e-05,5.71644990,-3.05787553,-1,-1.0
6.17981533e+02,1.83999987,-1.86094777e-10,2.48688487,3.66331422,1.43949114,-2.84509872,5.31913441e-05,5.71872805,-3.05105976,-1,-0.9999949635696547
6.49359055e+02,1.83999987,-1.83454274e-10,2.48302310,3.66357964,1.43702943,-2.84509872,5.31667535e-05,5.72108735,-3.04400035,-1,-0.999989671643028
6.82333491e+02,1.83999986,-1.80748053e-10,2.47895775,3.66383728,1.43448146,-2.84509872,5.31255020e-05,5.72352985,-3.03669197,-1,-0.9999841103913819
7.16986728e+02,1.83999985,-1.77943320e-10,2.47474047,3.66410094,1.43184550,-2.84509872,5.30683070e-05,5.72605706,-3.02913146,-1,-0.9999782660041934
7.53392392e+02,1.83999985,-1.75080145e-10,2.47039906,3.66437814,1.42912040,-2.84509872,5.30103836e-05,5.72866995,-3.02131344,-1,-0.9999721260641852
7.91629864e+02,1.83999984,-1.72144730e-10,2.46588187,3.66465647,1.42630515,-2.84509872,5.29369213e-05,5.73136964,-3.01323476,-1,-0.9999656771834795
8.31770480e+02,1.83999983,-1.69178174e-10,2.46120867,3.66494099,1.42339951,-2.84509872,5.28642300e-05,5.73415640,-3.00489689,-1,-0.9999589073310156
8.73885202e+02,1.83999983,-1.66168706e-10,2.45652307,3.66526828,1.42040212,-2.84509872,5.28122573e-05,5.73703093,-2.99629366,-1,-0.9999518045388087
9.18029101e+02,1.83999982,-1.63137107e-10,2.45161412,3.66558509,1.41731403,-2.84509872,5.27507132e-05,5.73999317,-2.98742904,-1,-0.9999443595189462
9.64652568e+02,1.83999981,-1.60030168e-10,2.44648504,3.66589971,1.41412025,-2.84509872,5.26671001e-05,5.74305735,-2.97825738,-1,-0.9999364963114421
1.01351209e+03,1.83999980,-1.56927858e-10,2.44119965,3.66622090,1.41083517,-2.84509872,5.25918187e-05,5.74620959,-2.96882130,-1,-0.9999282559855985
1.06465356e+03,1.83999980,-1.53779910e-10,2.43575762,3.66654789,1.40746018,-2.84509872,5.25063854e-05,5.74944882,-2.95912567,-1,-0.9999196308014038
1.11869774e+03,1.83999979,-1.50612943e-10,2.43044186,3.66696339,1.40397131,-2.84509871,5.24766042e-05,5.75279702,-2.94910342,-1,-0.999910516065219
1.17516906e+03,1.83999978,-1.47396230e-10,2.42467415,3.66730948,1.40039526,-2.84509871,5.23810310e-05,5.75623027,-2.93882501,-1,-0.9999009919835545
1.23471496e+03,1.83999977,-1.44226283e-10,2.41878597,3.66767891,1.39671231,-2.84509871,5.23160518e-05,5.75976736,-2.92823538,-1,-0.9998909493634354
1.29698226e+03,1.83999976,-1.41008496e-10,2.41286806,3.66808681,1.39293755,-2.84509871,5.22586854e-05,5.76339311,-2.91738033,-1,-0.999880447769879
1.36267111e+03,1.83999975,-1.37811953e-10,2.40662923,3.66846873,1.38905430,-2.84509870,5.21847691e-05,5.76712426,-2.90620924,-1,-0.9998693691201885
1.43146538e+03,1.83999974,-1.34565076e-10,2.40032731,3.66888246,1.38507589,-2.84509870,5.21095596e-05,5.77094774,-2.89476083,-1,-0.9998577667307715
1.50367859e+03,1.83999974,-1.31322151e-10,2.39377324,3.66928257,1.38099863,-2.84509870,5.20185323e-05,5.77486718,-2.88302369,-1,-0.9998455877254058
1.57967460e+03,1.83999973,-1.28100991e-10,2.38702428,3.66968550,1.37681828,-2.84509870,5.19285698e-05,5.77888690,-2.87098718,-1,-0.999832770737855
1.65936287e+03,1.83999972,-1.24838450e-10,2.38021434,3.67012190,1.37254051,-2.84509869,5.18353554e-05,5.78300053,-2.85866943,-1,-0.9998193310380007
1.74297483e+03,1.83999971,-1.21599681e-10,2.37315869,3.67054539,1.36816572,-2.84509869,5.17289999e-05,5.78720855,-2.84606784,-1,-0.99980522959438
1.83077321e+03,1.83999969,-1.18398246e-10,2.36599980,3.67099268,1.36369169,-2.84509868,5.16414842e-05,5.79151294,-2.83317917,-1,-0.999790422096678
1.92312234e+03,1.83999968,-1.15184354e-10,2.35886721,3.67149827,1.35911421,-2.84509864,5.15735328e-05,5.79591712,-2.81998721,-1,-0.9997748470993915
2.01997652e+03,1.83999967,-1.11981520e-10,2.35133272,3.67195117,1.35444116,-2.84509864,5.14546356e-05,5.80041535,-2.80651312,-1,-0.9997585123099821
2.12161554e+03,1.83999966,-1.08760411e-10,2.34362840,3.67240978,1.34967178,-2.84509863,5.13107937e-05,5.80500777,-2.79275711,-1,-0.9997413705409076
2.22835090e+03,1.83999965,-1.05604913e-10,2.33575190,3.67287310,1.34480690,-2.84509862,5.11775055e-05,5.80969370,-2.77872058,-1,-0.9997233692566251
2.34048984e+03,1.83999964,-1.02482920e-10,2.32769079,3.67333763,1.33984730,-2.84509861,5.10359912e-05,5.81447213,-2.76440702,-1,-0.9997044566400557
2.45821487e+03,1.83999963,-9.94160546e-11,2.31985211,3.67390685,1.33478950,-2.84509856,5.09711641e-05,5.81934499,-2.74980863,-1,-0.9996846019102624
2.58160526e+03,1.83999962,-9.64022861e-11,2.31151189,3.67439440,1.32964429,-2.84509856,5.08472376e-05,5.82430401,-2.73495176,-1,-0.999663791698088
2.71136961e+03,1.83999960,-9.34267612e-11,2.30300439,3.67488619,1.32440696,-2.84509855,5.07148718e-05,5.82935329,-2.71982374,-1,-0.9996419064957137
2.84746099e+03,1.83999959,-9.04731820e-11,2.29442810,3.67540428,1.31908265,-2.84509854,5.05817421e-05,5.83448756,-2.70443996,-1,-0.9996189542180451
2.99032327e+03,1.83999958,-8.75604083e-11,2.28569941,3.67592827,1.31367031,-2.84509852,5.04410367e-05,5.83970832,-2.68879688,-1,-0.9995948600048854
3.14035671e+03,1.83999956,-8.47594927e-11,2.27697500,3.67649829,1.30816807,-2.84509850,5.03617972e-05,5.84501668,-2.67288871,-1,-0.9995695563510136
3.29775223e+03,1.83999955,-8.19507828e-11,2.26792393,3.67702698,1.30258515,-2.84509850,5.02105130e-05,5.85040499,-2.65674117,-1,-0.9995430110571175
3.46303376e+03,1.83999954,-7.92081895e-11,2.25896224,3.67762171,1.29691485,-2.84509849,5.01073862e-05,5.85587857,-2.64033827,-1,-0.9995151357606069
3.63652333e+03,1.83999953,-7.65164832e-11,2.24965506,3.67816893,1.29116683,-2.84509848,4.99594391e-05,5.86137723,-2.62379505,-1,-0.9994858761500184
3.81845721e+03,1.83999951,-7.38891152e-11,2.24018447,3.67871270,1.28534398,-2.84509848,4.98069621e-05,5.86693317,-2.60705648,-1,-0.9994551923776069
4.00956388e+03,1.83999950,-7.13021635e-11,2.23057255,3.67925911,1.27944521,-2.84509848,4.96365459e-05,5.87257989,-2.59007016,-1,-0.9994229615827237
4.21017232e+03,1.83999948,-6.88413779e-11,2.22095357,3.67984162,1.27347070,-2.84509848,4.95341850e-05,5.87834248,-2.57278415,-1,-0.9993891282817642
4.42059962e+03,1.83999947,-6.64102647e-11,2.21121255,3.68042973,1.26742396,-2.84509847,4.94081716e-05,5.88418189,-2.55527074,-1,-0.999353638996413
4.64156582e+03,1.83999946,-6.40165646e-11,2.20127465,3.68100335,1.26130778,-2.84509847,4.92491456e-05,5.89009456,-2.53754612,-1,-0.9993163722894566
4.87330553e+03,1.83999944,-6.16604274e-11,2.19125250,3.68159071,1.25512197,-2.84509847,4.90764088e-05,5.89607794,-2.51960952,-1,-0.999277288593114
5.11679422e+03,1.83999943,-5.93863148e-11,2.18125746,3.68222152,1.24886284,-2.84509847,4.89452084e-05,5.90213373,-2.50145799,-1,-0.9992362233910267
5.37188489e+03,1.83999941,-5.71736406e-11,2.17094022,3.68280205,1.24254316,-2.84509847,4.87729379e-05,5.90825021,-2.48312211,-1,-0.9991932014752485
5.64015897e+03,1.83999940,-5.50148266e-11,2.16073879,3.68344619,1.23615416,-2.84509847,4.86333366e-05,5.91443591,-2.46457926,-1,-0.9991479561321898
5.92132031e+03,1.83999938,-5.29136061e-11,2.15021777,3.68403990,1.22970625,-2.84509847,4.84490896e-05,5.92068153,-2.44585397,-1,-0.999100537308563
6.21625698e+03,1.83999937,-5.08755127e-11,2.13956804,3.68463029,1.22320058,-2.84509847,4.82586722e-05,5.92698609,-2.42695242,-1,-0.9990507952283189
6.52607503e+03,1.83999935,-4.88872650e-11,2.12878699,3.68521564,1.21663936,-2.84509847,4.80467449e-05,5.93334594,-2.40788305,-1,-0.9989985433523343
6.85120239e+03,1.83999934,-4.69715581e-11,2.11826089,3.68589653,1.21001454,-2.84509847,4.79129657e-05,5.93976864,-2.38862520,-1,-0.9989437095087479
7.19222418e+03,1.83999932,-4.51168800e-11,2.10751729,3.68654912,1.20333755,-2.84509847,4.77556857e-05,5.94624359,-2.36921229,-1,-0.9988861950150664
7.55014110e+03,1.83999930,-4.33299232e-11,2.09650183,3.68715868,1.19661071,-2.84509847,4.75709405e-05,5.95276910,-2.34964519,-1,-0.998825831099805
7.92584910e+03,1.83999929,-4.15822558e-11,2.08545884,3.68778731,1.18983194,-2.84509847,4.73747282e-05,5.95934725,-2.32991681,-1,-0.9987624666579256
8.31994867e+03,1.83999927,-3.99002433e-11,2.07424894,3.68839593,1.18300977,-2.84509847,4.71682595e-05,5.96596978,-2.31005525,-1,-0.9986960004147315
8.73344612e+03,1.83999926,-3.82662829e-11,2.06301319,3.68902084,1.17614208,-2.84509847,4.69595086e-05,5.97263805,-2.29005477,-1,-0.9986262626525921
9.16744372e+03,1.83999924,-3.66931088e-11,2.05183041,3.68968389,1.16922458,-2.84509847,4.67815495e-05,5.97935675,-2.26990612,-1,-0.9985530674698944
