B-V,Ia,Ib,II,III,IV,V
-0.3,34880.825199938765,20229.89789782576,18141.578771659555,-1,-1,-1
-0.2772727272727273,34880.825199938765,18812.56222937301,15129.01751104005,-1,-1,-1
-0.2545454545454545,34880.825199938765,17494.5271311561,13083.358534551646,-1,-1,-1
-0.2318181818181818,34880.825199938765,16268.835462768253,10910.757154259521,-1,-1,-1
-0.20909090909090908,34880.825199938765,15129.01751104005,9435.467149696515,-1,-1,-1
-0.18636363636363634,34880.825199938765,14069.056840188228,7868.628719105868,-1,-1,-1
-0.16363636363636364,34880.825199938765,13083.358534551646,6804.677873643015,-1,-1,480.1622494087865
-0.1409090909090909,34880.825199938765,12166.719666286834,5884.588359292725,-1,1327.4812364280908,208.26293637854258
-0.11818181818181817,34880.825199938765,11314.301832139128,4907.403123706084,-1,516.337602581519,120.78664752595056
-0.09545454545454543,34880.825199938765,10521.605614327045,4243.852219364084,1234.475996604636,288.78047296117524,81.00603031168299
-0.0727272727272727,34880.825199938765,9784.44683073372,3539.124976340305,665.8000885493012,193.67173628268156,60.58071361877772
-0.04999999999999999,34880.825199938765,9098.934449043965,3060.584795427582,446.5213933763534,134.69067811715686,46.98121999465766
-0.027272727272727282,34880.825199938765,8461.450048248767,2646.75007314627,322.0226616669477,100.72901198514396,37.782184655284524
-0.004545454545454519,34880.825199938765,7868.628719105868,2288.871708493565,249.7332336862843,81.00603031168299,31.50813611371597
0.018181818181818188,34880.825199938765,7587.980095009096,1979.3836037244716,193.67173628268156,65.14485566308427,27.247786660989913
0.04090909090909095,34880.825199938765,7056.355323866689,1775.0531291686973,161.51092065876412,54.32700618209867,23.56349722634419
0.06363636363636366,34880.825199938765,6804.677873643015,1591.8155558341118,134.69067811715686,46.98121999465766,21.131052822241312
0.08636363636363642,34880.825199938765,6327.932379851768,1376.5793861139227,116.4785771305191,40.62868888427214,18.949708062737763
0.10909090909090913,34880.825199938765,6102.235428174422,1280.134259487463,100.72901198514396,36.43461590888658,17.622064330686527
0.1318181818181819,34880.825199938765,5884.588359292725,1147.9868373081597,90.33082197198502,32.673494343106285,16.38743722313522
0.1545454545454546,34880.825199938765,5674.7040598338435,1029.4809070733195,81.00603031168299,30.384342456163207,14.695772798788354
0.1772727272727273,34880.825199938765,5472.305656833618,957.3539978345474,75.33063161711738,28.255571834427496,13.666165874008026
0.2,34880.825199938765,5277.126152494007,890.2804033300208,67.55429979444854,26.275945936376516,13.178737786327883
0.22272727272727283,34880.825199938765,5088.908071967921,827.9060810799933,62.82134863771963,25.338767637954575,12.25541651085293
0.24545454545454543,34880.825199938765,5088.908071967921,769.9017933287558,58.41999482890406,24.43501546870643,11.396784448530784
0.26818181818181824,34880.825199938765,4907.403123706084,715.9613691900922,54.32700618209867,23.56349722634419,10.598309380285048
0.29090909090909095,36170.925526659805,4732.371871918546,690.4253348513815,50.52077819167381,22.723063230592835,9.855776620809786
0.31363636363636377,36170.925526659805,4732.371871918546,642.053145410254,48.71886487310978,21.131052822241312,9.504252836072125
0.33636363636363636,36170.925526659805,4563.58342071823,597.0699809559225,46.98121999465766,19.65058094699074,8.523135033217487
0.3590909090909092,36170.925526659805,4563.58342071823,575.7744192225413,45.30555130820991,17.622064330686527,7.643297379332034
0.3818181818181819,36170.925526659805,4400.815109530065,555.2384015359291,42.13137938839298,16.38743722313522,6.8542847908923115
0.4045454545454546,36170.925526659805,4400.815109530065,535.4348374081168,42.13137938839298,14.695772798788354,5.927487713708356
0.4272727272727273,37508.741434748554,4400.815109530065,516.337602581519,40.62868888427214,13.178737786327883,4.943178680637231
0.45,37508.741434748554,4243.852219364084,497.9215045666157,39.17959450693276,11.818305305802355,4.274790410675045
0.47272727272727283,37508.741434748554,4243.852219364084,480.1622494087865,37.782184655284524,10.598309380285048,3.564925621587049
0.4954545454545454,37508.741434748554,4243.852219364084,480.1622494087865,37.782184655284524,9.504252836072125,2.9729398324913285
0.5181818181818183,37508.741434748554,4243.852219364084,463.0364096404682,36.43461590888658,8.838371247613589,2.3908310966171356
0.5409090909090908,37508.741434748554,4243.852219364084,446.5213933763534,36.43461590888658,8.219142278513536,1.9938135474275973
0.5636363636363637,38896.03773013405,4092.487689564533,446.5213933763534,36.43461590888658,7.643297379332034,1.6627240910203145
0.5863636363636364,38896.03773013405,4092.487689564533,446.5213933763534,35.135110596163436,7.107796999892007,1.3866148148237114
0.6090909090909091,38896.03773013405,4092.487689564533,430.5954145108651,35.135110596163436,6.8542847908923115,1.156355798940011
0.6318181818181818,38896.03773013405,4092.487689564533,430.5954145108651,35.135110596163436,6.609814545262262,1.0
0.6545454545454545,40334.64449176198,4092.487689564533,430.5954145108651,35.135110596163436,6.146721455807527,0.8339416156368021
0.6772727272727275,40334.64449176198,4092.487689564533,430.5954145108651,35.135110596163436,5.927487713708356,0.7211808133804888
0.7,40334.64449176198,4092.487689564533,430.5954145108651,35.135110596163436,5.927487713708356,0.6467337897912885
0.7227272727272727,40334.64449176198,4092.487689564533,430.5954145108651,36.43461590888658,5.716073332551483,0.5592861560292478
0.7454545454545456,40334.64449176198,4092.487689564533,430.5954145108651,36.43461590888658,5.512199420935635,0.5015514120115154
0.7681818181818181,41826.45948578026,4243.852219364084,430.5954145108651,36.43461590888658,5.512199420935635,0.44977658785029884
0.7909090909090908,41826.45948578026,4243.852219364084,430.5954145108651,36.43461590888658,5.512199420935635,0.40334644491761984
0.8136363636363637,41826.45948578026,4243.852219364084,430.5954145108651,37.782184655284524,5.315597034616855,0.3750874143474855
