star_age,log_Teff,log_R,log_center_T,log_center_Rho
1.005e+06,3.2586,-0.7356,5.214,0.625
1.614e+06,3.2276,-0.7647,5.211,0.699
2.618e+06,3.1744,-0.7909,5.202,0.767
4.169e+06,3.1310,-0.8114,5.191,0.824
6.668e+06,3.0892,-0.8313,5.173,0.880
1.064e+07,3.0390,-0.8490,5.151,0.932
1.690e+07,2.9856,-0.8647,5.125,0.978
2.685e+07,2.9288,-0.8777,5.097,1.018
4.285e+07,2.8696,-0.8891,5.067,1.053
6.871e+07,2.8088,-0.8994,5.038,1.083
1.094e+08,2.7494,-0.9079,5.009,1.108
1.782e+08,2.6893,-0.9161,4.978,1.131
2.924e+08,2.6282,-0.9233,4.947,1.152
4.656e+08,2.5718,-0.9297,4.917,1.170
7.396e+08,2.5157,-0.9355,4.886,1.186
1.211e+09,2.4555,-0.9415,4.853,1.202
1.982e+09,2.3953,-0.9464,4.819,1.216
3.177e+09,2.3391,-0.9509,4.786,1.229
5.152e+09,2.2860,-0.9554,4.750,1.241
8.318e+09,2.2375,-0.9599,4.711,1.253
