-8.33362,-29.5151,-25.9691
-0.584436,-6.51756,-39.2901
-13.368,-13.0249,-34.9534
-14.7082,-16.111,-30.0728
-2.27034,-16.7773,-32.4978
-6.63917,-24.6458,-27.1431
-2.98995,-24.3848,-25.4582
-10.7951,-14.9543,-28.1973
-5.54851,-17.8686,-27.7064
-18.3076,-3.12945,-34.6453
-22.3743,-7.29341,-29.2911
-18.1958,-8.51187,-30.9873
-20.0842,-4.9395,-30.5475
-13.4468,-1.94045,-28.844
-10.643,-7.0055,-33.9353
-1.51002,-7.93891,-33.9264
-9.18648,-1.18499,-32.9887
-5.00674,-5.03029,-34.2949
-9.59827,-10.7321,-29.64
-4.82206,-8.50022,-28.8918
-7.06789,-5.92905,-31.3719
-4.27851,-1.67525,-26.4008
-12.7083,-28.4735,-15.678
-2.03121,-36.1803,-23.1927
-9.28656,-28.5133,-23.6161
-1.0507,-30.0739,-24.2117
-3.33729,-35.0131,-14.1131
-10.9655,-27.926,-18.868
-4.05292,-30.8255,-15.4268
-20.4682,-35.0683,-12.2851
-23.6921,-27.5932,-9.84679
-18.8279,-25.7193,-10.9588
-13.5578,-33.2112,-1.65076
-20.8151,-31.4963,-4.49842
-14.1048,-25.705,-3.13212
-9.16276,-37.5137,-10.7798
-5.87971,-36.6213,-6.44218
-7.45343,-26.7426,-9.08487
-1.81841,-26.766,-7.75973
-9.20614,-35.1314,-0.416514
-1.71433,-33.6977,-5.29195
-11.9285,-27.7049,-2.8393
-3.04185,-28.7973,-2.94454
-29.2142,-18.1978,-18.2009
-26.5913,-8.30369,-21.6989
-25.7342,-5.06201,-22.7047
-29.1325,-9.93061,-14.4214
-33.4109,-5.90357,-18.6838
-28.585,-4.72153,-17.5684
-29.5105,-22.4956,-11.095
-26.6512,-18.2362,-8.4075
-26.1618,-21.6494,-2.10014
-32.8163,-16.1864,-1.77004
-26.1585,-16.8359,-6.27917
-34.4853,-11.1626,-7.96623
-29.9946,-6.62106,-9.86266
-37.5353,-5.94728,-6.77574
-31.0264,-3.68763,-9.29756
-35.8515,-11.9893,-1.50477
-30.8947,-6.8437,-0.927132
-36.4161,-2.84119,-0.584592
-27.0755,-1.56273,-6.06416
-22.1665,-24.699,-24.4548
-14.1163,-23.9936,-23.7072
-23.9806,-16.0611,-20.79
-17.1966,-15.662,-24.5532
-24.4667,-23.3572,-17.1969
-16.0258,-21.3584,-16.3358
-23.67,-17.3544,-16.9012
-17.6307,-16.5679,-13.7013
-7.75854,-24.9114,-22.0296
-2.38568,-22.3148,-21.3504
-12.1824,-18.3473,-23.5435
-2.17502,-18.7788,-19.5795
